M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,32,16,16,8,512,512,14,14,3,3,1,1,1,1,1,1,sta,788060
32,32,16,32,4,512,512,14,14,3,3,1,1,1,1,1,1,sta,788052
32,32,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,sta,169480
32,32,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,177972
32,32,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,sta,190552
32,32,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,dyn,200144
32,32,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,sta,253832
32,32,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,dyn,266680
32,32,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,sta,281352
32,64,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,sta,85340
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,177980
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,169488
32,32,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,dyn,281976
32,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,93716
32,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,85348
32,64,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,93708
32,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,95908
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,190560
32,64,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,sta,95900
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,200152
32,32,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,sta,337600
32,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,105328
32,32,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,dyn,341880
32,64,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,dyn,105320
32,64,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,sta,127532
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,281360
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,253840
32,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,127540
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,266688
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,281984
32,64,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,sta,142836
32,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,140248
32,64,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,142844
32,64,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,dyn,143260
32,64,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,143268
32,64,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,dyn,140240
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,341888
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,337608
32,64,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,sta,176736
32,64,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,dyn,180880
32,64,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,176744
32,64,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,180888
64,64,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,sta,48568
64,64,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,sta,43308
64,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,48576
64,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,43316
32,96,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,57524
32,96,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,64544
32,96,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,sta,57516
32,96,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65732
64,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,64396
32,96,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65724
32,96,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,sta,64536
64,64,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,sta,64388
64,64,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65704
32,96,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,sta,85616
32,96,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,dyn,73832
64,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65712
