M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,32,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,dyn,341880
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,341888
32,32,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,177972
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,177980
32,32,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,dyn,281976
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,281984
32,32,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,dyn,266680
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,266688
32,32,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,dyn,200144
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,200152
