round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,280002,30998,4187010,68378,74268,4640656
2,119220,70384,4215612,66674,46638,4518528
3,46471,30560,4196874,41345,49195,4364445
4,84617,30757,4177859,19211,40215,4352659
5,74591,30368,4173674,17482,34279,4330394
6,78925,30404,4160606,4969,10850,4285754
7,47496,30442,4164622,4953,13966,4261479
8,51550,30589,4159489,5072,10350,4257050
9,46206,30504,4193175,4757,9202,4283844
10,45495,30536,4161338,4458,10313,4252140
11,49554,29684,4179238,7576,47141,4313193
12,49726,30628,4161393,4174,9301,4255222
13,48116,29549,4159608,4138,9247,4250658
14,48217,29956,4159819,3893,9711,4251596
15,51324,31718,4161740,3374,13706,4261862
16,52337,29834,4183133,7584,38150,4311038
17,71126,29624,4174709,6455,33561,4315475
18,75308,29950,4159007,4860,8392,4277517
19,45157,32092,4162025,2828,13179,4255281
20,56602,29930,4181001,7518,35394,4310445
21,71757,29951,4174667,6554,32518,4315447
22,81285,31549,4159367,5353,9135,4286689
23,46509,32824,4160556,4292,13953,4258134
24,54234,29853,4161229,3951,9038,4258305
25,46803,29624,4175724,7003,33934,4293088
26,86177,30515,4218321,7583,44782,4387378
27,105208,57833,4188064,6795,44153,4402053
28,109236,62421,4234127,8250,49966,4464000
29,113288,54923,4217919,8286,46147,4440563
30,113303,59129,4238092,7631,44972,4463127
31,104752,48203,4218289,7304,45444,4423992
32,113947,63446,4223397,8601,50765,4460156
33,129076,63886,4222688,7494,45403,4468547
34,111731,57069,4239243,7843,45637,4461523
35,112185,52958,4228641,7711,48232,4449727
36,113933,106859,4223088,8902,51827,4504609
37,115058,58293,4224866,8059,45672,4451948
38,152428,63296,4234115,7810,45836,4503485
39,113204,50230,4222862,7935,46519,4440750
40,106899,109330,4222191,8089,50768,4497277
41,177411,56284,4217268,7849,45125,4503937
42,109787,61870,4225350,26731,130120,4553858
43,260890,89222,4230828,39534,150752,4771226
44,200874,136300,4252926,59471,93418,4742989
45,162840,109738,4263451,89943,127098,4753070
46,149418,51497,4258671,24865,138563,4623014
47,194074,76541,4222787,8432,50554,4552388
48,121200,58172,4226963,8143,46122,4460600
49,157037,54166,4255783,25993,57586,4550565
50,205349,93268,4266902,104210,143599,4813328
