round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,197581,50542,4757150,4952,10844,5021069
2,92101,50451,4757105,4784,8979,4913420
3,75794,50304,4761286,5349,11169,4903902
4,153888,81401,4793726,6313,16083,5051411
5,92173,51533,4866586,6857,12976,5030125
6,111167,81949,4854310,6040,12506,5065972
7,77957,51137,4788231,6578,16980,4940883
8,117089,84410,4854628,8054,21849,5086030
9,206813,52775,4846352,7545,16413,5129898
10,84239,52750,4790772,8130,18854,4954745
11,91607,53751,4838497,11117,24745,5019717
12,142986,91681,4790319,11114,23132,5059232
13,132827,90154,4767485,10604,23620,5024690
14,103538,55165,4809064,16063,32341,5016171
15,113576,57298,4827747,23495,51396,5073512
16,192104,114574,4824484,25834,53459,5210455
17,204240,128666,4825915,25839,53963,5238623
18,146582,65857,4824561,26477,59373,5122850
19,203263,123611,4828992,29015,64667,5249548
20,221649,133377,4838558,26120,58894,5278598
21,184338,115434,4785922,29669,50239,5165602
22,152700,114387,4835116,28398,62635,5193236
23,214406,126044,4823866,26730,58139,5249185
24,208125,116031,4844829,26538,60625,5256148
25,142890,73798,4833955,27969,65440,5144052
26,220357,137225,4831181,26322,60395,5275480
27,210160,125134,4830465,26147,59147,5251053
28,198935,68744,4843999,26523,59948,5198149
29,221609,119968,4833836,26194,61832,5263439
30,211244,125777,4829285,26161,57860,5250327
31,199694,117144,4844204,26503,60222,5247767
32,258576,124499,4832450,26469,61633,5303627
33,150271,116708,4832317,26398,53449,5179143
34,198896,112353,4854748,25598,58510,5250105
35,208623,123215,4826821,27672,63939,5250270
36,232682,135031,4822872,25965,57264,5273814
37,193321,111377,4823807,26436,60752,5215693
38,218224,123189,4835714,27221,65159,5269507
39,221068,126833,4826540,26943,61133,5262517
40,229048,135828,4840803,26309,59106,5291094
41,200426,123213,4827157,27836,65482,5244114
42,219153,124264,4849158,26180,58108,5276863
43,198659,116669,4819886,26662,71648,5233524
44,290318,68403,4827958,27805,64419,5278903
45,229151,135548,4843735,26127,57613,5292174
46,201212,116236,4826828,26174,51795,5222245
47,158705,116365,4842397,28920,65604,5211991
48,205515,119104,4825243,26166,59135,5235163
49,203652,140137,4841514,26206,57178,5268687
50,146652,69227,4834207,25419,54210,5129715
