OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,299,299,3,3,2,2,0,0,0,0,sta,22484
128,8,299,299,3,3,2,2,0,0,0,0,dyn,22524
128,32,149,149,3,3,1,1,0,0,0,0,sta,69002
128,32,149,149,3,3,1,1,0,0,0,0,dyn,69322
128,32,147,147,3,3,1,1,1,1,1,1,sta,69002
128,32,147,147,3,3,1,1,1,1,1,1,dyn,69322
128,64,147,147,3,3,2,2,0,0,0,0,sta,34442
128,64,147,147,3,3,2,2,0,0,0,0,dyn,35216
128,160,73,73,1,1,1,1,0,0,0,0,sta,9775
128,160,73,73,1,1,1,1,0,0,0,0,dyn,9929
128,160,73,73,1,1,1,1,0,0,0,0,sta,9776
128,160,73,73,1,1,1,1,0,0,0,0,dyn,9983
128,64,73,73,3,3,1,1,0,0,0,0,sta,32409
128,64,73,73,3,3,1,1,0,0,0,0,dyn,33102
128,64,73,73,1,7,1,1,3,3,0,0,sta,26852
128,64,73,73,1,7,1,1,3,3,0,0,dyn,27400
128,64,73,73,7,1,1,1,0,0,3,3,sta,26852
128,64,73,73,7,1,1,1,0,0,3,3,dyn,27380
128,64,73,73,3,3,1,1,0,0,0,0,sta,32409
128,64,73,73,3,3,1,1,0,0,0,0,dyn,33187
256,192,71,71,3,3,2,2,0,0,0,0,sta,49079
256,192,71,71,3,3,2,2,0,0,0,0,dyn,53687
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6154
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6154
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6154
128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9114
128,64,35,35,3,3,1,1,1,1,1,1,sta,8421
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9184
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6155
128,96,35,35,3,3,1,1,1,1,1,1,sta,12486
128,96,35,35,3,3,1,1,1,1,1,1,dyn,13587
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6155
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6155
128,384,35,35,1,1,1,1,0,0,0,0,sta,5710
128,384,35,35,1,1,1,1,0,0,0,0,dyn,6155
128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9114
128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9148
