ins_idx,latency(cycles),latency(ns)
1,22484,89936
2,69406,277624
3,69328,277312
4,24358,97432
5,35177,140708
6,2704,10816
7,9936,39744
8,9931,39724
9,33139,132556
10,27387,109548
11,27409,109636
12,33141,132564
13,5088,20352
14,49079,196316
15,17446,69784
16,1880,7520
17,6159,24636
18,6239,24956
19,6160,24640
20,34726,138904
21,9154,36616
22,9156,36624
23,6242,24968
24,13592,54368
25,1264,5056
26,1264,5056
27,1264,5056
28,6160,24640
29,6194,24776
30,6159,24636
31,34726,138904
32,9118,36472
33,9154,36616
34,6159,24636
35,13603,54412
36,1264,5056
37,1264,5056
38,1264,5056
39,6159,24636
40,6198,24792
41,6159,24636
42,34726,138904
43,9159,36636
44,9119,36476
45,6159,24636
46,13590,54360
47,1264,5056
48,1264,5056
49,1264,5056
50,6159,24636
51,6161,24644
52,6160,24640
53,34726,138904
54,9115,36460
55,9152,36608
56,6223,24892
57,13628,54512
58,1264,5056
59,1264,5056
60,1264,5056
61,36884,147536
62,12078,48312
63,8808,35232
64,49079,196316
65,14522,58088
66,944,3776
67,944,3776
68,15172,60688
69,10207,40828
70,10287,41148
71,23206,92824
72,13310,53240
73,13310,53240
74,3903,15612
75,11357,45428
76,13275,53100
77,11357,45428
78,11357,45428
79,944,3776
80,336,1344
81,640,2560
82,15241,60964
83,10186,40744
84,10190,40760
85,23206,92824
86,13273,53092
87,13305,53220
88,5215,20860
89,11357,45428
90,13308,53232
91,11357,45428
92,11357,45428
93,944,3776
94,336,1344
95,640,2560
96,15161,60644
97,10197,40788
98,10185,40740
99,23206,92824
100,13319,53276
101,13336,53344
102,5217,20868
103,11357,45428
104,13274,53096
105,11357,45428
106,11357,45428
107,944,3776
108,336,1344
109,640,2560
110,15161,60644
111,10267,41068
112,10189,40756
113,23206,92824
114,13308,53232
115,13308,53232
116,5214,20856
117,11357,45428
118,13278,53112
119,11357,45428
120,11357,45428
121,944,3776
122,336,1344
123,640,2560
124,15160,60640
125,10276,41104
126,10184,40736
127,23206,92824
128,13275,53100
129,13275,53100
130,5232,20928
131,11357,45428
132,13307,53228
133,11357,45428
134,11357,45428
135,944,3776
136,336,1344
137,640,2560
138,15164,60656
139,10189,40756
140,10189,40756
141,23206,92824
142,13310,53240
143,13306,53224
144,5214,20856
145,11357,45428
146,13320,53280
147,11357,45428
148,11357,45428
149,944,3776
150,336,1344
151,640,2560
152,15164,60656
153,10191,40764
154,10184,40736
155,23206,92824
156,13308,53232
157,13275,53100
158,5217,20868
159,11357,45428
160,13281,53124
161,15472,61888
162,15471,61884
163,336,1344
164,640,2560
165,640,2560
166,10187,40748
167,10195,40780
168,4777,19108
169,2731,10924
170,12938,51752
171,19263,77052
172,6391,25564
173,544,2176
174,192,768
175,6493,25972
176,3541,14164
177,3542,14168
178,7078,28312
179,4920,19680
180,4995,19980
181,3541,14164
182,6494,25976
183,4083,16332
184,6487,25948
185,6490,25960
186,160,640
187,160,640
188,160,640
189,160,640
190,160,640
191,6491,25964
192,3542,14168
193,3541,14164
194,7078,28312
195,4918,19672
196,4963,19852
197,3541,14164
198,6489,25956
199,4084,16336
200,6488,25952
201,6528,26112
202,160,640
203,160,640
204,160,640
205,160,640
206,160,640
207,6559,26236
208,3541,14164
209,3542,14168
210,7078,28312
211,4919,19676
212,4954,19816
213,3541,14164
214,6493,25972
215,4083,16332
216,6485,25940
217,6547,26188
218,160,640
219,160,640
220,160,640
221,160,640
222,160,640
223,49318,197272
224,25203,100812
