round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,119846,59713,14637629,65964,49204,14932356
2,84041,59950,14622359,68674,103731,14938755
3,84757,93856,14614862,41715,20517,14855707
4,93522,85477,14560050,3054,14973,14757076
5,48967,30160,14633902,8686,68790,14790505
6,85153,58823,14678123,3122,17095,14842316
7,89593,62443,14664626,3135,17408,14837205
8,86238,62503,14647359,3414,18723,14818237
9,99393,65685,14676567,3475,17231,14862351
10,85083,60536,14590610,5208,19194,14760631
11,96685,64328,14603562,3914,22450,14790939
12,99256,72424,14602492,4879,26624,14805675
13,116514,68188,14599526,11773,61041,14857042
14,116087,96164,14628232,8650,51284,14900417
15,116600,62261,14630945,9252,52489,14871547
16,99261,59473,14628355,8673,54061,14849823
17,184523,65862,14619885,9041,54717,14934028
18,112672,64449,14634228,8507,53429,14873285
19,110729,53038,14639387,8497,54310,14865961
20,105365,54499,14622405,9083,52222,14843574
21,150526,54041,14561516,3480,27710,14797273
22,51045,30327,14593799,3644,19179,14697994
23,81517,80791,14592300,3682,20096,14778386
24,63280,32802,14670613,3821,15873,14786389
25,80662,76462,14647087,3425,19657,14827293
26,73143,84086,14631834,4253,22356,14815672
27,92481,83282,14589570,3054,16961,14785348
28,77667,75746,14680245,8985,67206,14909849
29,77958,78400,14592043,3615,16593,14768609
30,74920,81554,14593308,3363,17657,14770802
31,90662,34434,14588825,4235,22901,14741057
32,89921,40690,14597133,5425,27430,14760599
33,68098,36547,14619769,6482,38981,14769877
34,110283,50768,14625690,8785,56433,14851959
35,124063,57566,14629501,9384,54888,14875402
36,121441,55961,14603038,11747,63311,14855498
37,130929,57535,14620894,8989,54931,14873278
38,118046,62135,14629126,8705,52896,14870908
39,114333,65627,14629223,8513,52191,14869887
40,107989,48646,14602141,15426,60343,14834545
41,105186,48034,14627672,9117,52604,14842613
42,142849,57442,14627528,8555,53794,14890168
43,97963,60218,14595987,9205,53938,14817311
44,103332,46183,14601937,12301,60769,14824522
45,113119,60631,14624051,8601,49800,14856202
46,97761,57868,14593743,9054,51221,14809647
47,111626,118102,14619966,8711,51459,14909864
48,99966,60501,14635912,9840,54640,14860859
49,99309,58512,14596328,9711,53764,14817624
50,106446,47384,14631093,9246,54434,14848603
