ins_idx,latency(cycles),latency(ns)
1,118101,472404
2,28356,113424
3,19480,77920
4,5014,20056
5,43637,174548
6,19480,77920
7,12576,50304
8,19479,77916
9,43602,174408
10,19479,77916
11,12576,50304
12,19478,77912
13,43599,174396
14,19480,77920
15,12576,50304
16,39950,159800
17,10118,40472
18,44930,179720
19,19825,79300
20,6304,25216
21,20049,80196
22,44922,179688
23,20086,80344
24,6304,25216
25,20084,80336
26,44918,179672
27,20083,80332
28,6304,25216
29,20058,80232
30,44926,179704
31,20082,80328
32,6304,25216
33,46226,184904
34,11686,46744
35,49665,198660
36,23193,92772
37,3360,13440
38,23184,92736
39,49664,198656
40,23188,92752
41,3360,13440
42,23193,92772
43,49666,198664
44,23188,92752
45,3360,13440
46,23195,92780
47,49667,198668
48,23190,92760
49,3360,13440
50,23186,92744
51,49666,198664
52,23235,92940
53,3360,13440
54,23197,92788
55,49665,198660
56,23243,92972
57,3360,13440
58,23189,92756
59,49666,198664
60,23185,92740
61,3360,13440
62,23197,92788
63,49665,198660
64,23194,92776
65,3360,13440
66,23197,92788
67,49666,198664
68,23187,92748
69,3360,13440
70,23195,92780
71,49664,198656
72,23195,92780
73,3360,13440
74,23182,92728
75,51971,207884
76,23188,92752
77,3360,13440
78,23225,92900
79,51964,207856
80,23191,92764
81,3360,13440
82,23197,92788
83,51937,207748
84,23185,92740
85,3360,13440
86,23281,93124
87,51979,207916
88,23196,92784
89,3360,13440
90,23200,92800
91,51990,207960
92,23187,92748
93,3360,13440
94,23200,92800
95,51964,207856
96,23268,93072
97,3360,13440
98,23186,92744
99,51981,207924
100,23203,92812
101,3360,13440
102,23184,92736
103,51968,207872
104,23194,92776
105,3360,13440
106,23194,92776
107,51937,207748
108,23195,92780
109,3360,13440
110,23198,92792
111,51940,207760
112,23195,92780
113,3360,13440
114,23188,92752
115,51990,207960
116,23276,93104
117,3360,13440
118,23196,92784
119,52013,208052
120,23190,92760
121,3360,13440
122,23198,92792
123,51978,207912
124,23191,92764
125,3360,13440
126,50709,202836
127,14808,59232
128,56734,226936
129,25309,101236
130,2080,8320
131,25329,101316
132,56729,226916
133,25308,101232
134,2080,8320
135,25328,101312
136,56732,226928
137,25308,101232
138,2080,8320
139,50308,201232
140,33584,134336
