OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,7,7,2,2,3,3,3,3,sta,36573
64,8,224,224,7,7,2,2,3,3,3,3,dyn,36603
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13828
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13863
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
128,64,56,56,1,1,2,2,0,0,0,0,sta,1996
128,64,56,56,1,1,2,2,0,0,0,0,dyn,1996
128,64,56,56,3,3,2,2,1,1,1,1,sta,7650
128,64,56,56,3,3,2,2,1,1,1,1,dyn,7932
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15591
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15590
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15668
256,128,28,28,1,1,2,2,0,0,0,0,sta,1719
256,128,28,28,1,1,2,2,0,0,0,0,dyn,1719
256,128,28,28,3,3,2,2,1,1,1,1,sta,10091
256,128,28,28,3,3,2,2,1,1,1,1,dyn,11430
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22681
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22642
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22637
512,256,14,14,1,1,2,2,0,0,0,0,sta,1967
512,256,14,14,1,1,2,2,0,0,0,0,dyn,2333
512,256,14,14,3,3,2,2,1,1,1,1,sta,13336
512,256,14,14,3,3,2,2,1,1,1,1,dyn,18987
512,512,7,7,3,3,1,1,1,1,1,1,sta,26346
512,512,7,7,3,3,1,1,1,1,1,1,dyn,37776
512,512,7,7,3,3,1,1,1,1,1,1,sta,26347
512,512,7,7,3,3,1,1,1,1,1,1,dyn,37772
512,512,7,7,3,3,1,1,1,1,1,1,sta,26347
512,512,7,7,3,3,1,1,1,1,1,1,dyn,37771
