OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,3,3,2,2,1,1,1,1,sta,21842
64,8,224,224,3,3,2,2,1,1,1,1,dyn,21837
64,32,112,112,3,3,2,2,1,1,1,1,sta,21844
64,32,112,112,3,3,2,2,1,1,1,1,dyn,21889
64,64,56,56,1,1,1,1,0,0,0,0,sta,5007
64,64,56,56,1,1,1,1,0,0,0,0,dyn,5009
64,64,56,56,3,3,1,1,1,1,1,1,sta,43482
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43598
64,32,56,56,1,1,1,1,0,0,0,0,sta,3329
64,32,56,56,1,1,1,1,0,0,0,0,dyn,3329
64,64,56,56,3,3,1,1,1,1,1,1,sta,43480
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43596
64,192,56,56,1,1,1,1,0,0,0,0,sta,14623
64,192,56,56,1,1,1,1,0,0,0,0,dyn,14726
64,64,56,56,3,3,1,1,1,1,1,1,sta,43479
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43595
64,64,56,56,1,1,1,1,0,0,0,0,sta,5011
64,64,56,56,1,1,1,1,0,0,0,0,dyn,5001
64,64,56,56,3,3,1,1,1,1,1,1,sta,43484
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43628
64,32,56,56,1,1,1,1,0,0,0,0,sta,3329
64,32,56,56,1,1,1,1,0,0,0,0,dyn,3329
64,64,56,56,3,3,1,1,1,1,1,1,sta,43483
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43596
128,256,56,56,1,1,1,1,0,0,0,0,sta,38671
128,256,56,56,1,1,1,1,0,0,0,0,dyn,38772
192,128,56,56,3,3,2,2,1,1,1,1,sta,66450
192,128,56,56,3,3,2,2,1,1,1,1,dyn,67301
192,144,28,28,1,1,1,1,0,0,0,0,sta,8481
192,144,28,28,1,1,1,1,0,0,0,0,dyn,8562
128,144,28,28,3,3,1,1,1,1,1,1,sta,49881
128,144,28,28,3,3,1,1,1,1,1,1,dyn,50543
192,72,28,28,1,1,1,1,0,0,0,0,sta,4339
192,72,28,28,1,1,1,1,0,0,0,0,dyn,4368
128,144,28,28,3,3,1,1,1,1,1,1,sta,49886
128,144,28,28,3,3,1,1,1,1,1,1,dyn,50501
192,432,28,28,1,1,1,1,0,0,0,0,sta,25043
192,432,28,28,1,1,1,1,0,0,0,0,dyn,25326
192,144,28,28,3,3,1,1,1,1,1,1,sta,74735
192,144,28,28,3,3,1,1,1,1,1,1,dyn,75687
192,144,28,28,1,1,1,1,0,0,0,0,sta,8480
192,144,28,28,1,1,1,1,0,0,0,0,dyn,8559
128,144,28,28,3,3,1,1,1,1,1,1,sta,49881
128,144,28,28,3,3,1,1,1,1,1,1,dyn,50536
192,72,28,28,1,1,1,1,0,0,0,0,sta,4342
192,72,28,28,1,1,1,1,0,0,0,0,dyn,4402
128,144,28,28,3,3,1,1,1,1,1,1,sta,49886
128,144,28,28,3,3,1,1,1,1,1,1,dyn,50504
320,576,28,28,1,1,1,1,0,0,0,0,sta,55409
320,576,28,28,1,1,1,1,0,0,0,0,dyn,56129
320,288,28,28,3,3,2,2,1,1,1,1,sta,69762
320,288,28,28,3,3,2,2,1,1,1,1,dyn,73020
320,304,14,14,1,1,1,1,0,0,0,0,sta,8361
320,304,14,14,1,1,1,1,0,0,0,0,dyn,8727
192,304,14,14,3,3,1,1,1,1,1,1,sta,44255
192,304,14,14,3,3,1,1,1,1,1,1,dyn,46318
320,152,14,14,1,1,1,1,0,0,0,0,sta,4277
320,152,14,14,1,1,1,1,0,0,0,0,dyn,4439
192,304,14,14,3,3,1,1,1,1,1,1,sta,44252
192,304,14,14,3,3,1,1,1,1,1,1,dyn,46290
320,912,14,14,1,1,1,1,0,0,0,0,sta,24676
320,912,14,14,1,1,1,1,0,0,0,0,dyn,25841
320,304,14,14,3,3,1,1,1,1,1,1,sta,73625
320,304,14,14,3,3,1,1,1,1,1,1,dyn,77040
320,304,14,14,1,1,1,1,0,0,0,0,sta,8355
320,304,14,14,1,1,1,1,0,0,0,0,dyn,8727
192,304,14,14,3,3,1,1,1,1,1,1,sta,44251
192,304,14,14,3,3,1,1,1,1,1,1,dyn,46286
320,152,14,14,1,1,1,1,0,0,0,0,sta,4282
320,152,14,14,1,1,1,1,0,0,0,0,dyn,4432
192,304,14,14,3,3,1,1,1,1,1,1,sta,44257
192,304,14,14,3,3,1,1,1,1,1,1,dyn,46323
512,1216,14,14,1,1,1,1,0,0,0,0,sta,52415
512,1216,14,14,1,1,1,1,0,0,0,0,dyn,54834
960,480,14,14,3,3,2,2,1,1,1,1,sta,99582
960,480,14,14,3,3,2,2,1,1,1,1,dyn,115861
1024,960,7,7,3,3,1,1,1,1,1,1,sta,212201
1024,960,7,7,3,3,1,1,1,1,1,1,dyn,246908
1280,1024,7,7,3,3,2,2,1,1,1,1,sta,141531
1280,1024,7,7,3,3,2,2,1,1,1,1,dyn,187838
1024,1280,4,4,1,1,1,1,0,0,0,0,sta,15902
1024,1280,4,4,1,1,1,1,0,0,0,0,dyn,21067
