round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,92743,30301,3421861,4960,13734,3563599
2,85192,58186,3450036,5324,13042,3611780
3,73050,30447,3473876,26651,42313,3646337
4,60475,30383,3575786,63333,77631,3807608
5,140960,62286,3421589,4642,12609,3642086
6,79585,64678,3451294,2957,16075,3614589
7,102577,61464,3551935,4805,10054,3730835
8,83626,66461,3451243,4794,9995,3616119
9,89227,62306,3450219,5115,10320,3617187
10,82872,66421,3522213,5366,11058,3687930
11,46405,29873,3422762,3379,13910,3516329
12,54490,30097,3424101,3479,13438,3525605
13,97204,64380,3503308,6703,12693,3684288
14,85891,65070,3446538,6341,12688,3616528
15,94647,71824,3452793,2989,16379,3638632
16,86799,66247,3421378,2897,13998,3591319
17,53460,29581,3420597,4139,9791,3517568
18,46001,29963,3419024,3665,8872,3507525
19,44907,29821,3419858,3731,9051,3507368
20,49433,30166,3424089,3846,14939,3522473
21,61048,29943,3449994,4997,10653,3556635
22,48778,29662,3448056,4695,9713,3540904
23,77664,62848,3531404,5506,10182,3687604
24,82693,61373,3451804,5277,12561,3613708
25,105345,61843,3450413,5251,16974,3639826
26,141233,70619,3533233,5177,10345,3760607
27,83439,60537,3514174,5310,10836,3674296
28,83832,67945,3449984,5447,10937,3618145
29,86187,72762,3452119,3209,16785,3631062
30,54700,30348,3497730,6284,13158,3602220
31,90100,63914,3497740,6550,12942,3671246
32,49184,30752,3498128,6607,12925,3597596
33,86577,63271,3452954,4571,16131,3623504
34,87629,79885,3503147,3799,21125,3695585
35,117071,32622,3494195,9050,17371,3670309
36,91543,80462,3485087,9123,17180,3683395
37,99811,77119,3473886,5049,21056,3676921
38,101096,63482,3460286,4616,25659,3655139
39,99831,67658,3501487,6631,36247,3711854
40,140537,104777,3514325,16769,85365,3861773
41,115437,98590,3513283,59324,129121,3915755
42,140754,75222,3525693,123906,95534,3961109
43,205111,116653,3478542,8433,46747,3855486
44,142957,49972,3478754,7961,49730,3729374
45,114426,115520,3528736,114105,156023,4028810
46,167539,102313,3530114,129654,155464,4085084
47,151808,44735,3516099,96195,87242,3896079
48,111993,71136,3519704,101106,129040,3932979
49,122830,78788,3515001,95163,130399,3942181
50,124518,83525,3524842,91904,130511,3955300
