OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,224,224,3,3,2,2,1,1,1,1,sta,12820
128,8,224,224,3,3,2,2,1,1,1,1,dyn,12859
128,32,112,112,3,3,2,2,1,1,1,1,sta,10250
128,32,112,112,3,3,2,2,1,1,1,1,dyn,10572
128,64,56,56,1,1,1,1,0,0,0,0,sta,3406
128,64,56,56,1,1,1,1,0,0,0,0,dyn,3436
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20967
128,64,56,56,1,1,1,1,0,0,0,0,sta,3406
128,64,56,56,1,1,1,1,0,0,0,0,dyn,3436
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20936
128,192,56,56,1,1,1,1,0,0,0,0,sta,6930
128,192,56,56,1,1,1,1,0,0,0,0,dyn,7126
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20905
128,64,56,56,1,1,1,1,0,0,0,0,sta,3406
128,64,56,56,1,1,1,1,0,0,0,0,dyn,3438
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20905
128,64,56,56,1,1,1,1,0,0,0,0,sta,3406
128,64,56,56,1,1,1,1,0,0,0,0,dyn,3437
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20905
128,256,56,56,1,1,1,1,0,0,0,0,sta,9143
128,256,56,56,1,1,1,1,0,0,0,0,dyn,9420
128,128,56,56,3,3,2,2,1,1,1,1,sta,10860
128,128,56,56,3,3,2,2,1,1,1,1,dyn,12335
128,128,28,28,1,1,1,1,0,0,0,0,sta,1463
128,128,28,28,1,1,1,1,0,0,0,0,dyn,1625
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12333
128,64,28,28,1,1,1,1,0,0,0,0,sta,1102
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1131
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12328
128,384,28,28,1,1,1,1,0,0,0,0,sta,3812
128,384,28,28,1,1,1,1,0,0,0,0,dyn,4341
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12339
128,128,28,28,1,1,1,1,0,0,0,0,sta,1463
128,128,28,28,1,1,1,1,0,0,0,0,dyn,1576
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12335
128,64,28,28,1,1,1,1,0,0,0,0,sta,1102
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1133
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12336
128,512,28,28,1,1,1,1,0,0,0,0,sta,4987
128,512,28,28,1,1,1,1,0,0,0,0,dyn,5640
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12331
128,128,28,28,1,1,1,1,0,0,0,0,sta,1463
128,128,28,28,1,1,1,1,0,0,0,0,dyn,1576
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12341
128,64,28,28,1,1,1,1,0,0,0,0,sta,1102
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1133
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12334
384,512,28,28,1,1,1,1,0,0,0,0,sta,14384
384,512,28,28,1,1,1,1,0,0,0,0,dyn,16395
384,288,28,28,3,3,2,2,1,1,1,1,sta,22245
384,288,28,28,3,3,2,2,1,1,1,1,dyn,32540
384,288,14,14,1,1,1,1,0,0,0,0,sta,2728
384,288,14,14,1,1,1,1,0,0,0,0,dyn,3827
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21751
384,144,14,14,1,1,1,1,0,0,0,0,sta,1508
384,144,14,14,1,1,1,1,0,0,0,0,dyn,2015
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21790
384,864,14,14,1,1,1,1,0,0,0,0,sta,7607
384,864,14,14,1,1,1,1,0,0,0,0,dyn,11021
384,288,14,14,3,3,1,1,1,1,1,1,sta,22244
384,288,14,14,3,3,1,1,1,1,1,1,dyn,32536
384,288,14,14,1,1,1,1,0,0,0,0,sta,2728
384,288,14,14,1,1,1,1,0,0,0,0,dyn,3794
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21790
384,144,14,14,1,1,1,1,0,0,0,0,sta,1508
384,144,14,14,1,1,1,1,0,0,0,0,dyn,2015
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21764
384,1152,14,14,1,1,1,1,0,0,0,0,sta,10047
384,1152,14,14,1,1,1,1,0,0,0,0,dyn,14633
384,288,14,14,3,3,1,1,1,1,1,1,sta,22245
384,288,14,14,3,3,1,1,1,1,1,1,dyn,32530
384,288,14,14,1,1,1,1,0,0,0,0,sta,2728
384,288,14,14,1,1,1,1,0,0,0,0,dyn,3827
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21828
384,144,14,14,1,1,1,1,0,0,0,0,sta,1509
384,144,14,14,1,1,1,1,0,0,0,0,dyn,2101
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21753
384,1152,14,14,1,1,1,1,0,0,0,0,sta,10047
384,1152,14,14,1,1,1,1,0,0,0,0,dyn,14567
384,288,14,14,3,3,1,1,1,1,1,1,sta,22244
384,288,14,14,3,3,1,1,1,1,1,1,dyn,32530
384,288,14,14,1,1,1,1,0,0,0,0,sta,2728
384,288,14,14,1,1,1,1,0,0,0,0,dyn,3828
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21797
384,144,14,14,1,1,1,1,0,0,0,0,sta,1509
384,144,14,14,1,1,1,1,0,0,0,0,dyn,2065
256,288,14,14,3,3,1,1,1,1,1,1,sta,14926
256,288,14,14,3,3,1,1,1,1,1,1,dyn,21750
512,1152,14,14,1,1,1,1,0,0,0,0,sta,13300
512,1152,14,14,1,1,1,1,0,0,0,0,dyn,19393
768,416,14,14,3,3,2,2,1,1,1,1,sta,16146
768,416,14,14,3,3,2,2,1,1,1,1,dyn,45960
1024,760,7,7,3,3,1,1,1,1,1,1,sta,38914
1024,760,7,7,3,3,1,1,1,1,1,1,dyn,111648
1024,1024,7,7,3,3,2,2,1,1,1,1,sta,52332
1024,1024,7,7,3,3,2,2,1,1,1,1,dyn,150359
1280,1024,4,4,1,1,1,1,0,0,0,0,sta,7517
1280,1024,4,4,1,1,1,1,0,0,0,0,dyn,21099
