ins_idx,latency(cycles),latency(ns)
1,12820,51280
2,10579,42316
3,3441,13764
4,20910,83640
5,3442,13768
6,20943,83772
7,1600,6400
8,1600,6400
9,7131,28524
10,20943,83772
11,3442,13768
12,20956,83824
13,3441,13764
14,20946,83784
15,1600,6400
16,1600,6400
17,1600,6400
18,9427,37708
19,12335,49340
20,1583,6332
21,12343,49372
22,1148,4592
23,12337,49348
24,424,1696
25,424,1696
26,4262,17048
27,12343,49372
28,1582,6328
29,12413,49652
30,1137,4548
31,12372,49488
32,816,3264
33,424,1696
34,424,1696
35,5634,22536
36,12338,49352
37,1582,6328
38,12340,49360
39,1137,4548
40,12337,49348
41,816,3264
42,816,3264
43,424,1696
44,16357,65428
45,32547,130188
46,3833,15332
47,21765,87060
48,2092,8368
49,21800,87200
50,552,2208
51,344,1376
52,7607,30428
53,32540,130160
54,3881,15524
55,21756,87024
56,2022,8088
57,21768,87072
58,552,2208
59,344,1376
60,344,1376
61,14569,58276
62,32542,130168
63,3833,15332
64,21754,87016
65,2020,8080
66,21769,87076
67,552,2208
68,344,1376
69,344,1376
70,14609,58436
71,32545,130180
72,3835,15340
73,21757,87028
74,2021,8084
75,21809,87236
76,552,2208
77,552,2208
78,344,1376
79,19394,77576
80,16146,64584
81,111661,446644
82,52332,209328
83,7517,30068
84,10406,41624
85,21031,84124
