OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,224,224,7,7,2,2,0,0,0,0,sta,223827
128,8,224,224,7,7,2,2,0,0,0,0,dyn,224065
64,96,54,54,1,1,1,1,0,0,0,0,sta,6975
64,96,54,54,1,1,1,1,0,0,0,0,dyn,6978
64,32,54,54,1,1,1,1,0,0,0,0,sta,3137
64,32,54,54,1,1,1,1,0,0,0,0,dyn,3137
64,16,54,54,3,3,1,1,1,1,1,1,sta,10356
64,16,54,54,3,3,1,1,1,1,1,1,dyn,10373
64,192,54,54,1,1,1,1,0,0,0,0,sta,13744
64,192,54,54,1,1,1,1,0,0,0,0,dyn,13768
64,32,54,54,1,1,1,1,0,0,0,0,sta,3137
64,32,54,54,1,1,1,1,0,0,0,0,dyn,3213
64,16,54,54,3,3,1,1,1,1,1,1,sta,10355
64,16,54,54,3,3,1,1,1,1,1,1,dyn,10370
64,192,54,54,1,1,1,1,0,0,0,0,sta,13742
64,192,54,54,1,1,1,1,0,0,0,0,dyn,13770
128,32,54,54,1,1,1,1,0,0,0,0,sta,6081
128,32,54,54,1,1,1,1,0,0,0,0,dyn,6081
128,32,54,54,3,3,1,1,1,1,1,1,sta,40833
128,32,54,54,3,3,1,1,1,1,1,1,dyn,40949
64,384,27,27,1,1,1,1,0,0,0,0,sta,6972
64,384,27,27,1,1,1,1,0,0,0,0,dyn,7044
128,32,27,27,1,1,1,1,0,0,0,0,sta,1665
128,32,27,27,1,1,1,1,0,0,0,0,dyn,1665
128,32,27,27,3,3,1,1,1,1,1,1,sta,10355
128,32,27,27,3,3,1,1,1,1,1,1,dyn,10500
64,384,27,27,1,1,1,1,0,0,0,0,sta,6972
64,384,27,27,1,1,1,1,0,0,0,0,dyn,7042
192,48,27,27,1,1,1,1,0,0,0,0,sta,2739
192,48,27,27,1,1,1,1,0,0,0,0,dyn,2754
192,48,27,27,3,3,1,1,1,1,1,1,sta,23055
192,48,27,27,3,3,1,1,1,1,1,1,dyn,23373
64,576,27,27,1,1,1,1,0,0,0,0,sta,10356
64,576,27,27,1,1,1,1,0,0,0,0,dyn,10471
192,48,27,27,1,1,1,1,0,0,0,0,sta,2739
192,48,27,27,1,1,1,1,0,0,0,0,dyn,2754
192,48,27,27,3,3,1,1,1,1,1,1,sta,23060
192,48,27,27,3,3,1,1,1,1,1,1,dyn,23374
64,576,27,27,1,1,1,1,0,0,0,0,sta,10357
64,576,27,27,1,1,1,1,0,0,0,0,dyn,10468
256,64,27,27,1,1,1,1,0,0,0,0,sta,4715
256,64,27,27,1,1,1,1,0,0,0,0,dyn,4755
256,64,27,27,3,3,1,1,1,1,1,1,sta,40834
256,64,27,27,3,3,1,1,1,1,1,1,dyn,41386
64,768,13,13,1,1,1,1,0,0,0,0,sta,3731
64,768,13,13,1,1,1,1,0,0,0,0,dyn,3924
256,64,13,13,1,1,1,1,0,0,0,0,sta,1379
256,64,13,13,1,1,1,1,0,0,0,0,dyn,1415
256,64,13,13,3,3,1,1,1,1,1,1,sta,10803
256,64,13,13,3,3,1,1,1,1,1,1,dyn,11350
1024,768,13,13,1,1,1,1,0,0,0,0,sta,56730
1024,768,13,13,1,1,1,1,0,0,0,0,dyn,59789
