round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,98935,30591,2987165,5837,20400,3142928
2,49949,29625,2986273,4959,11350,3082156
3,48904,29780,2985051,4963,10208,3078906
4,43844,29356,2984996,5321,27915,3091432
5,58923,29510,2986685,5619,13974,3094711
6,54006,30102,2985529,4865,10665,3085167
7,48102,29454,2999067,15597,30464,3122684
8,74582,29467,3001225,16132,48323,3169729
9,44506,30038,2986006,5904,10277,3076731
10,50166,29636,2988980,5805,14852,3089439
11,53895,29528,3002009,15458,32300,3133190
12,47753,29506,2998961,14230,30542,3120992
13,76979,29821,2984648,4663,9378,3105489
14,43887,29404,2998235,23644,9658,3104828
15,60005,29444,2988403,6201,15254,3099307
16,52456,29444,3000597,14907,32249,3129653
17,86701,29633,2998721,14513,31513,3161081
18,78123,29517,2997567,14014,29707,3148928
19,98180,29768,2994933,5658,10400,3138939
20,44920,29779,2990913,5876,15142,3086630
21,61910,29710,3003144,15966,32800,3143530
22,84731,29554,2998578,13944,31134,3157941
23,74589,29456,2985266,5275,9221,3103807
24,44334,29598,2985157,5387,9695,3074171
25,44527,29407,2986462,5290,13789,3079475
26,52185,30151,2986662,5209,14056,3088263
27,58953,36175,2991437,5080,26667,3118312
28,44754,29535,2985756,4947,9800,3074792
29,43760,29471,2993006,5168,9137,3080542
30,44555,29742,2984221,5035,9499,3073052
31,46114,30552,2987278,5791,13919,3083654
32,49690,29757,2986388,4931,11503,3082269
33,52036,33589,2984527,5685,9404,3085241
34,45143,29516,2984157,5563,9685,3074064
35,44054,29862,2984262,5241,9081,3072500
36,44510,29718,2988276,6087,15933,3084524
37,67586,29529,3005954,9144,38587,3150800
38,83089,29608,2996692,14298,26605,3150292
39,77210,29745,2995321,13732,25985,3141993
40,73456,29654,2984307,5155,9147,3101719
41,44637,29688,2984954,5657,9383,3074319
42,55910,29560,2988191,4724,14909,3093294
43,53961,29939,2984920,5290,10549,3084659
44,45798,29782,2984642,5240,9592,3075054
45,44585,29830,2984003,4967,8996,3072381
46,43928,29465,2984886,5123,9921,3073323
47,46010,29523,2988442,7219,16842,3088036
48,56719,29849,2985457,5407,10770,3088202
49,50731,29864,2984344,5321,9336,3079596
50,45165,29853,2984213,5243,8629,3073103
