ins_idx,latency(cycles),latency(ns)
1,21509,86036
2,27492,109968
3,4863,19452
4,3233,12932
5,10689,42756
6,1552,6208
7,14186,56744
8,3233,12932
9,10689,42756
10,1552,6208
11,20004,80016
12,3586,14344
13,1665,6660
14,10357,41428
15,768,3072
16,6976,27904
17,1665,6660
18,10355,41420
19,768,3072
20,10500,42000
21,1965,7860
22,864,3456
23,6159,24636
24,296,1184
25,2848,11392
26,862,3448
27,6162,24648
28,296,1184
29,2852,11408
30,1376,5504
31,10796,43184
32,384,1536
33,3731,14924
34,1376,5504
35,10796,43184
36,384,1536
37,56732,226928
38,84632,338528
