round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,108840,30324,15864680,6454,18905,16029203
2,88366,67162,15865903,7622,55971,16085024
3,49199,30643,15870071,6154,16048,15972115
4,52696,30450,15896577,32855,16823,16029401
5,50360,30815,15892973,9510,20533,16004191
6,64053,32556,15888518,33014,55826,16073967
7,100355,35137,15863191,24012,58122,16080817
8,198749,127531,15868724,7600,19670,16222274
9,70264,70752,15868146,4709,21372,16035243
10,87667,74820,15906322,67189,76257,16212255
11,92812,60876,15889234,66198,75128,16184248
12,81789,67199,15964418,70055,79543,16263004
13,122496,76258,15945931,72456,73232,16290373
14,119557,86010,15922364,76816,97973,16302720
15,128074,84960,15920989,82767,131005,16347795
16,166856,134322,15942597,127979,128931,16500685
17,183367,152416,15946825,96192,165303,16544103
18,226573,81734,15950062,95944,139836,16494149
19,166227,50170,15935416,101422,160082,16413317
20,173691,141832,15939106,105981,147989,16508599
21,201969,150302,15934144,97945,143998,16528358
22,182843,148115,15940291,96287,140175,16507711
23,177612,97537,15928326,102078,137497,16443050
24,177841,128561,15941128,110580,146571,16504681
25,184992,62454,15935705,105051,147533,16435735
26,145897,51082,15935996,94387,136593,16363955
27,185886,49398,15891490,28284,95859,16250917
28,117075,96195,15964179,106569,143612,16427630
29,169895,96529,15939802,99938,143341,16449505
30,184982,133357,15937341,121083,154238,16531001
31,193888,146669,15941808,106759,107291,16496415
32,127218,50372,15929972,98667,138117,16344346
33,199535,132556,15870494,8934,56095,16267614
34,95578,104992,15998997,71335,80309,16351211
35,107126,90769,15892140,69530,48697,16208262
36,75105,71465,16012020,65159,80412,16304161
37,103966,71395,15894249,68076,48644,16186330
38,66719,32606,15949036,72815,87159,16208335
39,112582,94094,15912271,77079,97569,16293595
40,129763,100132,15921249,106195,141360,16398699
41,164763,123218,15942528,109882,72291,16412682
42,160219,117857,15936264,26364,64254,16304958
43,163237,87079,15935275,119356,71932,16376879
44,179137,131688,15943969,103846,147547,16506187
45,138861,50865,15941899,121706,175633,16428964
46,182124,130481,15900677,97363,127291,16437936
47,179641,134298,15876750,5925,29291,16225905
48,93821,31371,15867240,6446,17802,16016680
49,64364,30440,15890671,39520,50364,16075359
50,54408,30923,15862806,9869,52773,16010779
