OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,3,3,2,2,1,1,1,1,sta,21840
64,8,224,224,3,3,2,2,1,1,1,1,dyn,21837
64,64,112,112,3,3,1,1,1,1,1,1,sta,173330
64,64,112,112,3,3,1,1,1,1,1,1,dyn,173444
128,64,112,112,3,3,2,2,1,1,1,1,sta,86768
128,64,112,112,3,3,2,2,1,1,1,1,dyn,87011
64,128,56,56,3,3,1,1,1,1,1,1,sta,86765
64,128,56,56,3,3,1,1,1,1,1,1,dyn,87094
64,64,56,56,3,3,1,1,1,1,1,1,sta,43483
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43631
64,64,56,56,3,3,1,1,1,1,1,1,sta,43483
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43599
64,64,56,56,3,3,1,1,1,1,1,1,sta,43480
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43597
64,64,56,56,3,3,1,1,1,1,1,1,sta,43480
64,64,56,56,3,3,1,1,1,1,1,1,dyn,43598
128,576,56,56,1,1,1,1,0,0,0,0,sta,86766
128,576,56,56,1,1,1,1,0,0,0,0,dyn,87041
128,128,28,28,3,3,1,1,1,1,1,1,sta,44368
128,128,28,28,3,3,1,1,1,1,1,1,dyn,44919
128,80,28,28,3,3,1,1,1,1,1,1,sta,27806
128,80,28,28,3,3,1,1,1,1,1,1,dyn,28151
128,80,28,28,3,3,1,1,1,1,1,1,sta,27807
128,80,28,28,3,3,1,1,1,1,1,1,dyn,28119
128,80,28,28,3,3,1,1,1,1,1,1,sta,27806
128,80,28,28,3,3,1,1,1,1,1,1,dyn,28181
128,80,28,28,3,3,1,1,1,1,1,1,sta,27804
128,80,28,28,3,3,1,1,1,1,1,1,dyn,28157
256,656,28,28,1,1,1,1,0,0,0,0,sta,50506
256,656,28,28,1,1,1,1,0,0,0,0,dyn,51125
128,256,14,14,3,3,1,1,1,1,1,1,sta,24930
128,256,14,14,3,3,1,1,1,1,1,1,dyn,26091
128,96,14,14,3,3,1,1,1,1,1,1,sta,9475
128,96,14,14,3,3,1,1,1,1,1,1,dyn,9856
128,96,14,14,3,3,1,1,1,1,1,1,sta,9478
128,96,14,14,3,3,1,1,1,1,1,1,dyn,9891
128,96,14,14,3,3,1,1,1,1,1,1,sta,9474
128,96,14,14,3,3,1,1,1,1,1,1,dyn,9890
128,96,14,14,3,3,1,1,1,1,1,1,sta,9469
128,96,14,14,3,3,1,1,1,1,1,1,dyn,9887
384,992,14,14,1,1,1,1,0,0,0,0,sta,32150
384,992,14,14,1,1,1,1,0,0,0,0,dyn,33613
128,384,7,7,3,3,1,1,1,1,1,1,sta,10794
128,384,7,7,3,3,1,1,1,1,1,1,dyn,12541
128,112,7,7,3,3,1,1,1,1,1,1,sta,3290
128,112,7,7,3,3,1,1,1,1,1,1,dyn,3772
128,112,7,7,3,3,1,1,1,1,1,1,sta,3289
128,112,7,7,3,3,1,1,1,1,1,1,dyn,3772
128,112,7,7,3,3,1,1,1,1,1,1,sta,3290
128,112,7,7,3,3,1,1,1,1,1,1,dyn,3776
128,112,7,7,3,3,1,1,1,1,1,1,sta,3292
128,112,7,7,3,3,1,1,1,1,1,1,dyn,3773
512,1328,7,7,1,1,1,1,0,0,0,0,sta,16486
512,1328,7,7,1,1,1,1,0,0,0,0,dyn,19177
