round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,111511,30375,2054073,4808,11034,2211801
2,49303,30947,2054417,4928,11198,2150793
3,49365,31071,2054492,4913,9658,2149499
4,46135,30681,2055589,4876,10741,2148022
5,57290,31494,2055462,4821,12788,2161855
6,49559,30362,2053628,4835,9076,2147460
7,53435,30464,2053396,4778,8239,2150312
8,62633,30265,2054211,4817,9018,2160944
9,57043,30423,2053297,4811,8213,2153787
10,44779,30263,2053559,4832,8704,2142137
11,47882,50835,2054353,5315,9685,2168070
12,58100,30318,2055999,6956,12827,2164200
13,49770,30477,2054391,5181,10551,2150370
14,48124,30385,2054446,5246,10447,2148648
15,50710,30332,2053425,5133,9268,2148868
16,45171,30376,2053884,5071,8571,2143073
17,48163,30287,2056111,4972,12389,2151922
18,50478,30556,2053888,5401,11136,2151459
19,63533,31085,2055461,4923,12603,2167605
20,53304,30331,2053718,6016,9859,2153228
21,59242,30359,2053211,4793,8232,2155837
22,45312,30540,2053393,5163,8691,2143099
23,45009,30394,2053260,4919,8216,2141798
24,45534,30314,2053863,5318,9018,2144047
25,49205,30957,2057022,5131,11665,2153980
26,49223,30813,2055534,5479,11478,2152527
27,46875,30543,2054461,4928,10568,2147375
28,48018,30372,2075958,20551,38747,2213646
29,46303,30557,2054961,5082,9009,2145912
30,45742,30748,2053502,4901,8611,2143504
31,45046,30506,2053758,5215,9454,2143979
32,45338,30522,2053514,4907,8950,2143231
33,45651,30615,2056928,6591,12767,2152552
34,49892,30845,2059826,4989,14523,2160075
35,89713,62728,2084419,4829,53023,2294712
36,81775,60025,2082802,5308,13700,2243610
37,87534,60318,2054675,9902,51494,2263923
38,86196,30838,2054295,4883,9665,2185877
39,45845,30652,2054254,5192,9004,2144947
40,45178,30646,2083716,5398,14696,2179634
41,137918,61842,2055682,4957,11876,2272275
42,47884,30429,2055813,4976,11218,2150320
43,47735,30687,2055744,4795,9791,2148752
44,51941,30335,2054332,4953,9523,2151084
45,44814,30332,2054706,4839,8814,2143505
46,44549,30432,2054399,4895,8948,2143223
47,44968,30382,2054577,4997,8704,2143628
48,44456,30467,2057846,3306,11849,2147924
49,49027,29846,2057849,3608,14497,2154827
50,51593,29867,2056421,4199,11457,2153537
