ins_idx,latency(cycles),latency(ns)
1,7102,28408
2,53588,214352
3,27159,108636
4,27160,108640
5,13742,54968
6,13742,54968
7,13742,54968
8,13742,54968
9,3168,12672
10,1600,6400
11,1600,6400
12,1600,6400
13,1600,6400
14,27178,108712
15,5394,21576
16,14962,59848
17,9473,37892
18,9473,37892
19,9473,37892
20,9473,37892
21,816,3264
22,620,2480
23,620,2480
24,620,2480
25,620,2480
26,17017,68068
27,3666,14664
28,10083,40332
29,3984,15936
30,3984,15936
31,3984,15936
32,3984,15936
33,448,1792
34,188,752
35,188,752
36,188,752
37,188,752
38,12966,51864
39,1928,7712
40,5204,20816
41,1748,6992
42,1748,6992
43,1748,6992
44,1748,6992
45,224,896
46,96,384
47,96,384
48,96,384
49,96,384
50,7824,31296
51,12744,50976
52,8497,33988
