round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,97793,31251,5043657,7201,14533,5194435
2,57468,30904,5196709,33861,48720,5367662
3,65481,59659,5119407,63312,76896,5384755
4,87424,32721,5142181,112907,148719,5523952
5,127509,91211,5167647,111090,149505,5646962
6,189663,100547,5136532,104382,138584,5669708
7,135311,89994,5133347,103212,138200,5600064
8,113804,83204,5116090,24336,96186,5433620
9,153108,95246,5101527,49188,139166,5538235
10,169738,117997,5125532,101215,115140,5629622
11,113740,80374,5061289,4744,26304,5286451
12,78094,34734,5089336,64392,53884,5320440
13,345874,35298,5080501,3211,16866,5481750
14,72054,64324,5072987,5505,12239,5227109
15,91699,68810,5076151,3068,13837,5253565
16,70158,30366,5116743,2867,14088,5234222
17,86441,62074,5072311,4869,10297,5235992
18,169351,60469,5073452,3764,13582,5320618
19,82471,61051,5172109,3322,14392,5333345
20,82271,72293,5158713,4795,10000,5328072
21,78605,65454,5073312,3291,18507,5239169
22,81696,61110,5075494,2901,15921,5237122
23,95632,51050,5167405,4843,10706,5329636
24,80059,66422,5083685,5611,13240,5249017
25,98015,67893,5080772,3183,17594,5267457
26,66159,32289,5074508,6388,13519,5192863
27,91495,65619,5081086,3811,15431,5257442
28,104859,60800,5080226,3679,21680,5271244
29,72145,31895,5114321,8261,16836,5243458
30,106674,74472,5083442,4757,20751,5290096
31,114083,71706,5073693,5233,23707,5288422
32,120583,69619,5090245,4361,26496,5311304
33,132496,81090,5079846,4682,27782,5325896
34,144661,88263,5100514,5387,32333,5371158
35,115444,41504,5115263,45192,78660,5396063
36,115311,46564,5085800,37199,109781,5394655
37,147417,48413,5108866,72216,66427,5443339
38,120375,53280,5131856,79318,70731,5455560
39,124834,46288,5120160,77772,78131,5447185
40,135254,46757,5100816,61707,72226,5416760
41,108500,42061,5082088,34556,104545,5371750
42,157482,76458,5133694,52607,87223,5507464
43,118493,46309,5123418,71507,95530,5455257
44,102702,71163,5080224,33305,94045,5381439
45,123196,47651,5109600,49978,75733,5406158
46,84543,98180,5103396,60407,57628,5404154
47,97714,41992,5107544,85533,92858,5425641
48,72574,62805,5142148,43063,68187,5388777
49,77077,35944,5116730,61552,93073,5384376
50,69577,67602,5105834,46424,91929,5381366
