Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/stage1/unit1/conv/Conv_quant,Conv,64,3,224,224,11,11,4,4,2,2,2,2
/features/stage1/pool1/MaxPool,MaxPool,64,64,55,55,3,3,2,2,0,0,0,0
/features/stage2/unit1/conv/Conv_quant,Conv,192,64,27,27,5,5,1,1,2,2,2,2
/features/stage2/pool2/MaxPool,MaxPool,192,192,27,27,3,3,2,2,0,0,0,0
/features/stage3/unit1/conv/Conv_quant,Conv,384,192,13,13,3,3,1,1,1,1,1,1
/features/stage3/unit2/conv/Conv_quant,Conv,256,384,13,13,3,3,1,1,1,1,1,1
/features/stage3/unit3/conv/Conv_quant,Conv,256,256,13,13,3,3,1,1,1,1,1,1
/features/stage3/pool3/MaxPool,MaxPool,256,256,13,13,3,3,2,2,0,0,0,0
/output/fc1/fc/Gemm_quant,Fc,4096,9216,0,0,0,0,0,0,0,0,0,0
/output/fc2/fc/Gemm_quant,Fc,4096,4096,0,0,0,0,0,0,0,0,0,0
/output/fc3/Gemm_quant,Fc,1000,4096,0,0,0,0,0,0,0,0,0,0
