ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,33080,132320,0.13,3.04,140553600,140.55,1062.22,36.61
2,MaxPool,3630,14520,0.01,0.33,0,0,0,0
3,Conv,40925,163700,0.16,3.76,447897600,447.90,2736.09,94.30
4,MaxPool,2766,11064,0.01,0.25,0,0,0,0
5,Conv,22221,88884,0.09,2.04,224280576,224.28,2523.30,86.97
6,Conv,29540,118160,0.12,2.72,299040768,299.04,2530.81,87.23
7,Conv,19782,79128,0.08,1.82,199360512,199.36,2519.47,86.84
8,MaxPool,1324,5296,0.01,0.12,0,0,0,0
9,Fc,600690,2402760,2.40,55.21,75497472,75.50,31.42,98.19
10,Fc,267093,1068372,1.07,24.55,33554432,33.55,31.41,98.15
11,Fc,66873,267492,0.27,6.15,8192000,8.19,30.63,95.70
