round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,153542,50323,6075353,70522,16362,6366102
2,175777,90157,6025408,7826,15891,6315059
3,115695,79953,6075462,36108,48795,6356013
4,77472,50718,6055389,5405,52600,6241584
5,114660,80190,6051842,5578,12749,6265019
6,78531,127559,6081164,74592,77834,6439680
7,153920,120312,6162435,69408,75084,6581159
8,116677,50897,6162258,63230,74019,6467081
9,139781,113024,6086503,66434,74765,6480507
10,82195,77467,6051072,99230,103704,6413668
11,261214,55547,6083279,74273,42340,6516653
12,112365,109800,6059111,6411,71258,6358945
13,125907,80272,6152686,65465,75023,6499353
14,141522,51685,6034881,6682,51328,6286098
15,103365,88050,6156184,66748,82478,6496825
16,135912,79792,6052662,35888,79895,6384149
17,79344,81546,6162288,67868,80754,6471800
18,156752,84971,6054716,43308,85460,6425207
19,115059,137393,6083911,62651,82680,6481694
20,149143,78891,6118718,77028,86050,6509830
21,150857,104364,6114650,76984,81635,6528490
22,104610,55099,6081222,42830,99726,6383487
23,241486,121720,6087575,66896,49262,6566939
24,116561,109022,6082992,67365,85376,6461316
25,118739,51447,6117001,77779,87043,6452009
26,118355,110390,6133674,71325,74152,6507896
27,85575,54055,6057153,55950,81237,6333970
28,164599,89390,6112830,52222,83302,6502343
29,121564,75218,6052846,79341,92901,6421870
30,175529,128468,6072083,14294,42734,6433108
31,148504,85301,6083790,119503,128100,6565198
32,235925,173164,6092885,49708,177769,6729451
33,243854,150830,6092746,68208,112110,6667748
34,232827,129747,6129031,95923,104752,6692280
35,262282,159623,6053340,63283,49774,6588302
36,134087,69136,6168356,66166,81307,6519052
37,142153,85470,6083331,72809,45033,6428796
38,124987,51887,6091182,68941,85159,6422156
39,149137,119845,6139190,68491,88708,6565371
40,126322,111820,6064083,45170,90717,6438112
41,161648,85537,6132938,77374,92370,6549867
42,128497,109716,6060349,52163,73147,6423872
43,147522,88650,6039458,42800,62578,6381008
44,149006,88039,6121569,98647,119400,6576661
45,233789,135663,6052914,26807,64740,6513913
46,360092,123338,6118825,97817,135870,6835942
47,258957,159415,6132344,95768,136663,6783147
48,249658,176811,6077721,70468,137521,6712179
49,231802,104263,6116134,95672,137438,6685309
50,252631,108294,6141429,119303,72559,6694216
