ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,19408,77632,0.08,1.29,38363328,38.36,494.17,17.03
2,Conv,68979,275916,0.28,4.59,398297088,398.30,1443.54,49.75
3,Conv,68979,275916,0.28,4.59,796594176,796.59,2887.09,99.51
4,MaxPool,24364,97456,0.10,1.62,0,0,0,0
5,Conv,7855,31420,0.03,0.52,54568960,54.57,1736.76,59.86
6,Conv,120718,482872,0.48,8.03,1393735680,1393.74,2886.35,99.48
7,MaxPool,17452,69808,0.07,1.16,0,0,0,0
8,Conv,3055,12220,0.01,0.20,30105600,30.11,2463.63,84.91
9,Conv,2984,11936,0.01,0.20,22579200,22.58,1891.69,65.20
10,Conv,2985,11940,0.01,0.20,30105600,30.11,2521.41,86.91
11,AveragePool,17452,69808,0.07,1.16,0,0,0,0
12,Conv,17569,70276,0.07,1.17,188160000,188.16,2677.44,92.28
13,Conv,16861,67444,0.07,1.12,135475200,135.48,2008.71,69.23
14,Conv,2984,11936,0.01,0.20,15052800,15.05,1261.13,43.47
15,Conv,25182,100728,0.10,1.67,203212800,203.21,2017.44,69.53
16,Remap,650,2600,0.00,0.04,0,0,0,0
17,Remap,342,1368,0.00,0.02,0,0,0,0
18,Remap,958,3832,0.00,0.06,0,0,0,0
19,Conv,3969,15876,0.02,0.26,40140800,40.14,2528.40,87.15
20,Conv,3906,15624,0.02,0.26,30105600,30.11,1926.88,66.41
21,Conv,3907,15628,0.02,0.26,40140800,40.14,2568.52,88.53
22,AveragePool,23212,92848,0.09,1.54,0,0,0,0
23,Conv,17511,70044,0.07,1.16,188160000,188.16,2686.31,92.59
24,Conv,16852,67408,0.07,1.12,135475200,135.48,2009.78,69.27
25,Conv,3907,15628,0.02,0.26,40140800,40.14,2568.52,88.53
26,Conv,25156,100624,0.10,1.67,203212800,203.21,2019.53,69.61
27,Remap,650,2600,0.00,0.04,0,0,0,0
28,Remap,650,2600,0.00,0.04,0,0,0,0
