ins_idx,latency(cycles),latency(ns)
1,14973,59892
2,46269,185076
3,46269,185076
4,19658,78632
5,5698,22792
6,81134,324536
7,11440,45760
8,2201,8804
9,2201,8804
10,2201,8804
11,11432,45728
12,11644,46576
13,11222,44888
14,2201,8804
15,16651,66604
16,648,2592
17,340,1360
18,956,3824
19,2823,11292
20,2822,11288
21,2823,11292
22,15176,60704
23,11610,46440
24,11156,44624
25,2823,11292
26,16645,66580
27,648,2592
28,648,2592
29,648,2592
30,3133,12532
31,3133,12532
32,3133,12532
33,17048,68192
34,11645,46580
35,11194,44776
36,3133,12532
37,16646,66584
38,648,2592
39,648,2592
40,648,2592
41,44247,176988
42,3133,12532
43,5395,21580
44,11156,44624
45,5666,22664
46,716,2864
47,260,1040
48,6857,27428
49,5068,20272
50,5069,20276
51,14024,56096
52,5385,21540
53,5384,21536
54,6856,27424
55,7915,31660
56,5384,21536
57,5865,23460
58,7915,31660
59,488,1952
60,488,1952
61,488,1952
62,6857,27428
63,6856,27424
64,6856,27424
65,14024,56096
66,9812,39248
67,9812,39248
68,6857,27428
69,9812,39248
70,9812,39248
71,9811,39244
72,9812,39248
73,488,1952
74,488,1952
75,488,1952
76,6856,27424
77,6857,27428
78,6856,27424
79,14024,56096
80,9812,39248
81,9812,39248
82,6857,27428
83,9812,39248
84,9812,39248
85,9812,39248
86,9812,39248
87,488,1952
88,488,1952
89,488,1952
90,6856,27424
91,6856,27424
92,6857,27428
93,14024,56096
94,11709,46836
95,11709,46836
96,6856,27424
97,11709,46836
98,11709,46836
99,11709,46836
100,11709,46836
101,488,1952
102,488,1952
103,488,1952
104,6857,27428
105,6857,27428
106,3659,14636
107,6426,25704
108,11709,46836
109,11709,46836
110,3987,15948
111,416,1664
112,128,512
113,4843,19372
114,5746,22984
115,6649,26596
116,5960,23840
117,5204,20816
118,5204,20816
119,17401,69604
120,3036,12144
121,5204,20816
122,5204,20816
123,192,768
124,224,896
125,128,512
126,224,896
127,224,896
128,7553,30212
129,8999,35996
130,10445,41780
131,9416,37664
132,5204,20816
133,5204,20816
134,17401,69604
135,4662,18648
136,5204,20816
137,5204,20816
138,192,768
139,224,896
140,128,512
141,224,896
142,224,896
143,65736,262944
144,33522,134088
