Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/init_block/conv1/conv/Conv_quant,Conv,32,3,299,299,3,3,2,2,0,0,0,0
/features/init_block/conv2/conv/Conv_quant,Conv,32,32,149,149,3,3,1,1,0,0,0,0
/features/init_block/conv3/conv/Conv_quant,Conv,64,32,147,147,3,3,1,1,1,1,1,1
/features/init_block/pool1/MaxPool,MaxPool,64,64,147,147,3,3,2,2,0,0,0,0
/features/init_block/conv4/conv/Conv_quant,Conv,80,64,73,73,1,1,1,1,0,0,0,0
/features/init_block/conv5/conv/Conv_quant,Conv,192,80,73,73,3,3,1,1,0,0,0,0
/features/init_block/pool2/MaxPool,MaxPool,192,192,71,71,3,3,2,2,0,0,0,0
/features/stage1/unit1/branches/branch1/conv/conv/Conv_quant,Conv,64,192,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit1/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,48,192,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit1/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,64,192,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit1/branches/branch4/pool/AveragePool_quant,AveragePool,192,192,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,64,48,35,35,5,5,1,1,2,2,2,2
/features/stage1/unit1/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,96,64,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch4/conv/conv/Conv_quant,Conv,32,192,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit1/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,96,96,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit2/branches/branch1/conv/conv/Conv_quant,Conv,64,256,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,48,256,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit2/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,64,256,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit2/branches/branch4/pool/AveragePool_quant,AveragePool,256,256,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit2/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,64,48,35,35,5,5,1,1,2,2,2,2
/features/stage1/unit2/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,96,64,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit2/branches/branch4/conv/conv/Conv_quant,Conv,64,256,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit2/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,96,96,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit3/branches/branch1/conv/conv/Conv_quant,Conv,64,288,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit3/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,48,288,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit3/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,64,288,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit3/branches/branch4/pool/AveragePool_quant,AveragePool,288,288,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit3/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,64,48,35,35,5,5,1,1,2,2,2,2
/features/stage1/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,96,64,35,35,3,3,1,1,1,1,1,1
/features/stage1/unit3/branches/branch4/conv/conv/Conv_quant,Conv,64,288,35,35,1,1,1,1,0,0,0,0
/features/stage1/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,96,96,35,35,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch1/conv_list/conv1/conv/Conv_quant,Conv,384,288,35,35,3,3,2,2,0,0,0,0
/features/stage2/unit1/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,64,288,35,35,1,1,1,1,0,0,0,0
/features/stage2/unit1/branches/branch3/pool/MaxPool,MaxPool,288,288,35,35,3,3,2,2,0,0,0,0
/features/stage2/unit1/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,96,64,35,35,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv,96,96,35,35,3,3,2,2,0,0,0,0
/features/stage2/unit2/branches/branch1/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,128,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit2/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,128,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit2/branches/branch4/pool/AveragePool_quant,AveragePool,768,768,17,17,3,3,1,1,1,1,1,1
/features/stage2/unit2/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,128,128,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit2/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,128,128,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit2/branches/branch4/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit2/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv,192,128,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit2/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,128,128,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit2/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv,128,128,17,17,7,1,1,1,0,0,3,3
