Index,Name,Type
1,/features/init_block/conv1/conv/Conv_quant,Conv
2,/features/init_block/conv2/conv/Conv_quant,Conv
3,/features/init_block/conv3/conv/Conv_quant,Conv
4,/features/init_block/block1/branches/branch1/pool/MaxPool,MaxPool
5,/features/init_block/block1/branches/branch2/conv/conv/Conv_quant,Conv
6,/features/init_block/block1/branches/Concat_quant/0,Remap
7,/features/init_block/block2/branches/branch1/conv_list/conv1/conv/Conv_quant,Conv
8,/features/init_block/block2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
9,/features/init_block/block2/branches/branch1/conv_list/conv2/conv/Conv_quant,Conv
10,/features/init_block/block2/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
11,/features/init_block/block2/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
12,/features/init_block/block2/branches/branch2/conv_list/conv4/conv/Conv_quant,Conv
13,/features/init_block/block2/branches/Concat_quant/0,Remap
14,/features/init_block/block3/branches/branch1/conv/conv/Conv_quant,Conv
15,/features/init_block/block3/branches/branch2/pool/MaxPool,MaxPool
16,/features/init_block/block3/branches/Concat_quant/1,Remap
17,/features/stage1/unit1/branches/branch1/conv/conv/Conv_quant,Conv
18,/features/stage1/unit1/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
19,/features/stage1/unit1/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
20,/features/stage1/unit1/branches/branch4/pool/AveragePool_quant,AveragePool
21,/features/stage1/unit1/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
22,/features/stage1/unit1/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
23,/features/stage1/unit1/branches/branch4/conv/conv/Conv_quant,Conv
24,/features/stage1/unit1/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
25,/features/stage1/unit1/branches/Concat_quant/1,Remap
26,/features/stage1/unit1/branches/Concat_quant/2,Remap
27,/features/stage1/unit1/branches/Concat_quant/3,Remap
28,/features/stage1/unit2/branches/branch1/conv/conv/Conv_quant,Conv
29,/features/stage1/unit2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
30,/features/stage1/unit2/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
31,/features/stage1/unit2/branches/branch4/pool/AveragePool_quant,AveragePool
32,/features/stage1/unit2/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
33,/features/stage1/unit2/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
34,/features/stage1/unit2/branches/branch4/conv/conv/Conv_quant,Conv
35,/features/stage1/unit2/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
36,/features/stage1/unit2/branches/Concat_quant/0,Remap
37,/features/stage1/unit2/branches/Concat_quant/2,Remap
38,/features/stage1/unit2/branches/Concat_quant/3,Remap
39,/features/stage1/unit3/branches/branch1/conv/conv/Conv_quant,Conv
40,/features/stage1/unit3/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
41,/features/stage1/unit3/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
42,/features/stage1/unit3/branches/branch4/pool/AveragePool_quant,AveragePool
43,/features/stage1/unit3/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
44,/features/stage1/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
45,/features/stage1/unit3/branches/branch4/conv/conv/Conv_quant,Conv
46,/features/stage1/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
47,/features/stage1/unit3/branches/Concat_quant/0,Remap
48,/features/stage1/unit3/branches/Concat_quant/1,Remap
49,/features/stage1/unit3/branches/Concat_quant/2,Remap
50,/features/stage1/unit4/branches/branch1/conv/conv/Conv_quant,Conv
51,/features/stage1/unit4/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
52,/features/stage1/unit4/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
53,/features/stage1/unit4/branches/branch4/pool/AveragePool_quant,AveragePool
54,/features/stage1/unit4/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
55,/features/stage1/unit4/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
56,/features/stage1/unit4/branches/branch4/conv/conv/Conv_quant,Conv
57,/features/stage1/unit4/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
58,/features/stage1/unit4/branches/Concat_quant/0,Remap
59,/features/stage1/unit4/branches/Concat_quant/2,Remap
60,/features/stage1/unit4/branches/Concat_quant/3,Remap
61,/features/stage2/unit1/branches/branch1/conv_list/conv1/conv/Conv_quant,Conv
62,/features/stage2/unit1/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
63,/features/stage2/unit1/branches/branch3/pool/MaxPool,MaxPool
64,/features/stage2/unit1/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
65,/features/stage2/unit1/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
66,/features/stage2/unit1/branches/Concat_quant/0,Remap
67,/features/stage2/unit1/branches/Concat_quant/1,Remap
68,/features/stage2/unit2/branches/branch1/conv/conv/Conv_quant,Conv
69,/features/stage2/unit2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
70,/features/stage2/unit2/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
71,/features/stage2/unit2/branches/branch4/pool/AveragePool_quant,AveragePool
72,/features/stage2/unit2/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
73,/features/stage2/unit2/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
74,/features/stage2/unit2/branches/branch4/conv/conv/Conv_quant,Conv
75,/features/stage2/unit2/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
76,/features/stage2/unit2/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
77,/features/stage2/unit2/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
78,/features/stage2/unit2/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
79,/features/stage2/unit2/branches/Concat_quant/0,Remap
80,/features/stage2/unit2/branches/Concat_quant/1,Remap
81,/features/stage2/unit2/branches/Concat_quant/3,Remap
82,/features/stage2/unit3/branches/branch1/conv/conv/Conv_quant,Conv
83,/features/stage2/unit3/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
84,/features/stage2/unit3/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
85,/features/stage2/unit3/branches/branch4/pool/AveragePool_quant,AveragePool
86,/features/stage2/unit3/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
87,/features/stage2/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
88,/features/stage2/unit3/branches/branch4/conv/conv/Conv_quant,Conv
89,/features/stage2/unit3/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
90,/features/stage2/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
91,/features/stage2/unit3/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
92,/features/stage2/unit3/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
93,/features/stage2/unit3/branches/Concat_quant/0,Remap
94,/features/stage2/unit3/branches/Concat_quant/1,Remap
95,/features/stage2/unit3/branches/Concat_quant/3,Remap
96,/features/stage2/unit4/branches/branch1/conv/conv/Conv_quant,Conv
