ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,118101,472404,0.47,3.25,236027904,236.03,499.63,34.44
2,MaxPool,28356,113424,0.11,0.78,0,0,0,0
3,Conv,19480,77920,0.08,0.54,102760448,102.76,1318.79,90.91
4,Conv,5014,20056,0.02,0.14,25690112,25.69,1280.92,88.30
5,Conv,43637,174548,0.17,1.20,231211008,231.21,1324.63,91.31
6,Conv,19480,77920,0.08,0.54,102760448,102.76,1318.79,90.91
7,Add,12576,50304,0.05,0.35,0,0,0,0
8,Conv,19479,77916,0.08,0.54,102760448,102.76,1318.86,90.91
9,Conv,43602,174408,0.17,1.20,231211008,231.21,1325.69,91.38
10,Conv,19479,77916,0.08,0.54,102760448,102.76,1318.86,90.91
11,Add,12576,50304,0.05,0.35,0,0,0,0
12,Conv,19478,77912,0.08,0.54,102760448,102.76,1318.93,90.92
13,Conv,43599,174396,0.17,1.20,231211008,231.21,1325.78,91.39
14,Conv,19480,77920,0.08,0.54,102760448,102.76,1318.79,90.91
15,Add,12576,50304,0.05,0.35,0,0,0,0
16,Conv,39950,159800,0.16,1.10,205520896,205.52,1286.11,88.66
17,Conv,10118,40472,0.04,0.28,51380224,51.38,1269.53,87.51
18,Conv,44930,179720,0.18,1.24,231211008,231.21,1286.51,88.68
19,Conv,19825,79300,0.08,0.55,102760448,102.76,1295.84,89.33
20,Add,6304,25216,0.03,0.17,0,0,0,0
21,Conv,20049,80196,0.08,0.55,102760448,102.76,1281.37,88.33
22,Conv,44922,179688,0.18,1.24,231211008,231.21,1286.74,88.70
23,Conv,20086,80344,0.08,0.55,102760448,102.76,1279.01,88.17
24,Add,6304,25216,0.03,0.17,0,0,0,0
25,Conv,20084,80336,0.08,0.55,102760448,102.76,1279.13,88.18
26,Conv,44918,179672,0.18,1.24,231211008,231.21,1286.85,88.71
27,Conv,20083,80332,0.08,0.55,102760448,102.76,1279.20,88.18
28,Add,6304,25216,0.03,0.17,0,0,0,0
29,Conv,20058,80232,0.08,0.55,102760448,102.76,1280.79,88.29
30,Conv,44926,179704,0.18,1.24,231211008,231.21,1286.62,88.69
31,Conv,20082,80328,0.08,0.55,102760448,102.76,1279.26,88.18
32,Add,6304,25216,0.03,0.17,0,0,0,0
33,Conv,46226,184904,0.18,1.27,205520896,205.52,1111.50,76.62
34,Conv,11686,46744,0.05,0.32,51380224,51.38,1099.18,75.77
35,Conv,49665,198660,0.20,1.37,231211008,231.21,1163.85,80.23
36,Conv,23193,92772,0.09,0.64,102760448,102.76,1107.67,76.36
37,Add,3360,13440,0.01,0.09,0,0,0,0
38,Conv,23184,92736,0.09,0.64,102760448,102.76,1108.10,76.39
39,Conv,49664,198656,0.20,1.37,231211008,231.21,1163.88,80.23
40,Conv,23188,92752,0.09,0.64,102760448,102.76,1107.91,76.37
41,Add,3360,13440,0.01,0.09,0,0,0,0
42,Conv,23193,92772,0.09,0.64,102760448,102.76,1107.67,76.36
43,Conv,49666,198664,0.20,1.37,231211008,231.21,1163.83,80.23
44,Conv,23188,92752,0.09,0.64,102760448,102.76,1107.91,76.37
45,Add,3360,13440,0.01,0.09,0,0,0,0
46,Conv,23195,92780,0.09,0.64,102760448,102.76,1107.57,76.35
47,Conv,49667,198668,0.20,1.37,231211008,231.21,1163.81,80.23
48,Conv,23190,92760,0.09,0.64,102760448,102.76,1107.81,76.37
49,Add,3360,13440,0.01,0.09,0,0,0,0
50,Conv,23186,92744,0.09,0.64,102760448,102.76,1108.00,76.38
51,Conv,49666,198664,0.20,1.37,231211008,231.21,1163.83,80.23
52,Conv,23235,92940,0.09,0.64,102760448,102.76,1105.66,76.22
53,Add,3360,13440,0.01,0.09,0,0,0,0
54,Conv,23197,92788,0.09,0.64,102760448,102.76,1107.48,76.34
55,Conv,49665,198660,0.20,1.37,231211008,231.21,1163.85,80.23
56,Conv,23243,92972,0.09,0.64,102760448,102.76,1105.28,76.19
57,Add,3360,13440,0.01,0.09,0,0,0,0
58,Conv,23189,92756,0.09,0.64,102760448,102.76,1107.86,76.37
59,Conv,49666,198664,0.20,1.37,231211008,231.21,1163.83,80.23
60,Conv,23185,92740,0.09,0.64,102760448,102.76,1108.05,76.38
61,Add,3360,13440,0.01,0.09,0,0,0,0
62,Conv,23197,92788,0.09,0.64,102760448,102.76,1107.48,76.34
63,Conv,49665,198660,0.20,1.37,231211008,231.21,1163.85,80.23
64,Conv,23194,92776,0.09,0.64,102760448,102.76,1107.62,76.35
65,Add,3360,13440,0.01,0.09,0,0,0,0
66,Conv,23197,92788,0.09,0.64,102760448,102.76,1107.48,76.34
67,Conv,49666,198664,0.20,1.37,231211008,231.21,1163.83,80.23
68,Conv,23187,92748,0.09,0.64,102760448,102.76,1107.95,76.38
69,Add,3360,13440,0.01,0.09,0,0,0,0
70,Conv,23195,92780,0.09,0.64,102760448,102.76,1107.57,76.35
71,Conv,49664,198656,0.20,1.37,231211008,231.21,1163.88,80.23
72,Conv,23195,92780,0.09,0.64,102760448,102.76,1107.57,76.35
73,Add,3360,13440,0.01,0.09,0,0,0,0
74,Conv,23182,92728,0.09,0.64,102760448,102.76,1108.19,76.39
75,Conv,51971,207884,0.21,1.43,231211008,231.21,1112.21,76.67
76,Conv,23188,92752,0.09,0.64,102760448,102.76,1107.91,76.37
77,Add,3360,13440,0.01,0.09,0,0,0,0
78,Conv,23225,92900,0.09,0.64,102760448,102.76,1106.14,76.25
79,Conv,51964,207856,0.21,1.43,231211008,231.21,1112.36,76.68
80,Conv,23191,92764,0.09,0.64,102760448,102.76,1107.76,76.36
81,Add,3360,13440,0.01,0.09,0,0,0,0
82,Conv,23197,92788,0.09,0.64,102760448,102.76,1107.48,76.34
