ins_idx,latency(cycles),latency(ns)
1,54983,219932
2,14278,57112
3,6641,26564
4,3442,13768
5,20969,83876
6,6642,26568
7,12576,50304
8,9512,38048
9,20943,83772
10,6641,26564
11,12576,50304
12,9445,37780
13,20944,83776
14,6641,26564
15,12576,50304
16,10999,43996
17,6626,26504
18,12337,49348
19,4987,19948
20,6304,25216
21,5637,22548
22,12349,49396
23,5639,22556
24,6304,25216
25,5651,22604
26,12344,49376
27,5676,22704
28,6304,25216
29,5657,22628
30,12336,49344
31,5670,22680
32,6304,25216
33,17240,68960
34,4491,17964
35,13299,53196
36,8820,35280
37,3360,13440
38,8743,34972
39,13299,53196
40,8746,34984
41,3360,13440
42,8740,34960
43,13300,53200
44,8745,34980
45,3360,13440
46,8744,34976
47,13299,53196
48,8814,35256
49,3360,13440
50,8741,34964
51,13299,53196
52,8742,34968
53,3360,13440
54,8745,34980
55,13300,53200
56,8742,34968
57,3360,13440
58,8740,34960
59,13299,53196
60,8833,35332
61,3360,13440
62,8746,34984
63,13299,53196
64,8746,34984
65,3360,13440
66,8739,34956
67,13300,53200
68,8744,34976
69,3360,13440
70,8741,34964
71,13300,53200
72,8743,34972
73,3360,13440
74,8741,34964
75,19389,77556
76,8748,34992
77,3360,13440
78,8740,34960
79,19385,77540
80,8743,34972
81,3360,13440
82,8738,34952
83,19390,77560
84,8740,34960
85,3360,13440
86,8792,35168
87,19398,77592
88,8754,35016
89,3360,13440
90,8811,35244
91,19394,77576
92,8736,34944
93,3360,13440
94,8818,35272
95,19393,77572
96,8830,35320
97,3360,13440
98,8741,34964
99,19393,77572
100,8739,34956
101,3360,13440
102,8744,34976
103,19384,77536
104,8756,35024
105,3360,13440
106,8743,34972
107,19396,77584
108,8741,34964
109,3360,13440
110,8741,34964
111,19439,77756
112,8742,34968
113,3360,13440
114,8740,34960
115,19394,77576
116,8742,34968
117,3360,13440
118,8744,34976
119,19397,77588
120,8742,34968
121,3360,13440
122,8741,34964
123,19389,77556
124,8740,34960
125,3360,13440
126,12659,50636
127,8604,34416
128,13300,53200
129,6071,24284
130,2080,8320
131,6071,24284
132,13299,53196
133,6071,24284
134,2080,8320
135,6071,24284
136,13299,53196
137,6071,24284
138,2080,8320
139,50342,201368
140,33532,134128
