Index,Name,Type
1,/features/init_block/conv/conv/Conv_quant,Conv
2,/features/init_block/pool/MaxPool,MaxPool
3,/features/stage1/unit1/body/conv1/conv/Conv_quant,Conv
4,/features/stage1/unit1/body/conv2/conv/Conv_quant,Conv
5,/features/stage1/unit1/Add_quant,Add
6,/features/stage1/unit2/body/conv1/conv/Conv_quant,Conv
7,/features/stage1/unit2/body/conv2/conv/Conv_quant,Conv
8,/features/stage1/unit2/Add_quant,Add
9,/features/stage2/unit1/identity_conv/conv/Conv_quant,Conv
10,/features/stage2/unit1/body/conv1/conv/Conv_quant,Conv
11,/features/stage2/unit1/body/conv2/conv/Conv_quant,Conv
12,/features/stage2/unit1/Add_quant,Add
13,/features/stage2/unit2/body/conv1/conv/Conv_quant,Conv
14,/features/stage2/unit2/body/conv2/conv/Conv_quant,Conv
15,/features/stage2/unit2/Add_quant,Add
16,/features/stage3/unit1/identity_conv/conv/Conv_quant,Conv
17,/features/stage3/unit1/body/conv1/conv/Conv_quant,Conv
18,/features/stage3/unit1/body/conv2/conv/Conv_quant,Conv
19,/features/stage3/unit1/Add_quant,Add
20,/features/stage3/unit2/body/conv1/conv/Conv_quant,Conv
21,/features/stage3/unit2/body/conv2/conv/Conv_quant,Conv
22,/features/stage3/unit2/Add_quant,Add
23,/features/stage4/unit1/identity_conv/conv/Conv_quant,Conv
24,/features/stage4/unit1/body/conv1/conv/Conv_quant,Conv
25,/features/stage4/unit1/body/conv2/conv/Conv_quant,Conv
26,/features/stage4/unit1/Add_quant,Add
27,/features/stage4/unit2/body/conv1/conv/Conv_quant,Conv
28,/features/stage4/unit2/body/conv2/conv/Conv_quant,Conv
29,/features/stage4/unit2/Add_quant,Add
30,/features/final_pool/AveragePool_quant,AveragePool
31,/output/Gemm_quant,Fc
32,End,End
