round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,137494,59931,1283407,4974,10741,1496547
2,48169,32924,1283423,4966,9474,1378956
3,47374,30691,1283490,5008,9353,1375916
4,45173,30546,1283137,4829,9119,1372804
5,59344,30467,1284754,5318,13355,1393238
6,65273,30560,1285748,4842,11301,1397724
7,50195,30405,1283826,4992,11494,1380912
8,56640,30850,1284075,5061,9594,1386220
9,50905,30938,1283244,4945,9005,1379037
10,45125,30463,1283389,4870,8986,1372833
11,45200,30549,1283686,5098,8992,1373525
12,46589,31185,1283252,4958,9083,1375067
13,44882,30584,1295021,4880,8436,1383803
14,74360,30435,1284324,5309,10377,1404805
15,48999,30614,1283366,5020,8864,1376863
16,60004,30480,1283811,5385,9356,1389036
17,56697,45420,1283942,5253,9185,1400497
18,57443,38210,1283410,5628,9429,1394120
19,56522,30865,1283571,5428,24529,1400915
20,86216,30819,1283440,5248,9225,1414948
21,57008,40317,1283431,4970,9059,1394785
22,57407,30477,1285034,5238,11238,1389394
23,65080,31354,1284205,4817,10929,1396385
24,51330,30477,1285420,5064,10502,1382793
25,48877,31211,1284952,5242,10787,1381069
26,69342,30690,1284705,4923,9928,1399588
27,65367,38121,1283992,5574,9649,1402703
28,58830,50431,1301758,19786,51666,1482471
29,58533,30405,1283617,4918,9151,1386624
30,59150,30494,1283570,5239,9439,1387892
31,58706,30521,1284147,5098,10008,1388480
32,56695,30704,1286645,5808,11605,1391457
33,49897,31357,1284563,5593,10320,1381730
34,45394,30604,1287966,5549,14879,1384392
35,66119,31658,1285695,5290,14073,1402835
36,56016,31645,1286706,6292,14493,1395152
37,55643,31713,1285441,5795,11844,1390436
38,52071,31343,1286180,5757,12635,1387986
39,54023,31680,1288485,6591,16486,1397265
40,60466,36545,1292307,5829,19474,1414621
41,78154,31838,1289119,4573,19693,1423377
42,73514,31258,1289803,6592,19171,1420338
43,76122,31517,1285736,5625,12883,1411883
44,60003,30513,1341836,37140,11699,1481191
45,48231,30558,1284004,5148,9963,1377904
46,47389,30424,1284703,4901,12130,1379547
47,52182,30652,1283790,5174,11232,1383030
48,50589,30331,1283288,4951,10302,1379461
49,50570,32639,1283957,5681,18433,1391280
50,79040,30693,1283946,5191,10887,1409757
