ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,10227,40908,0.04,1.00,21676032,21.68,529.87,18.26
2,Conv,10264,41056,0.04,1.01,115605504,115.61,2815.80,97.05
3,Conv,2479,9916,0.01,0.24,25690112,25.69,2590.77,89.30
4,Conv,20310,81240,0.08,1.99,115605504,115.61,1423.01,49.05
5,Conv,1824,7296,0.01,0.18,12845056,12.85,1760.56,60.68
6,Conv,20341,81364,0.08,1.99,115605504,115.61,1420.84,48.97
7,Remap,818,3272,0.00,0.08,0,0,0,0
8,Remap,818,3272,0.00,0.08,0,0,0,0
9,Conv,6915,27660,0.03,0.68,77070336,77.07,2786.35,96.04
10,Conv,20310,81240,0.08,1.99,231211008,231.21,2846.02,98.09
11,Conv,2479,9916,0.01,0.24,25690112,25.69,2590.77,89.30
12,Conv,20309,81236,0.08,1.99,115605504,115.61,1423.08,49.05
13,Conv,1824,7296,0.01,0.18,12845056,12.85,1760.56,60.68
14,Conv,20346,81384,0.08,1.99,115605504,115.61,1420.49,48.96
15,Remap,1602,6408,0.01,0.16,0,0,0,0
16,Remap,818,3272,0.00,0.08,0,0,0,0
17,Remap,818,3272,0.00,0.08,0,0,0,0
18,Conv,17975,71900,0.07,1.76,205520896,205.52,2858.43,98.52
19,Conv,32984,131936,0.13,3.23,260112384,260.11,1971.50,67.95
20,Conv,4309,17236,0.02,0.42,32514048,32.51,1886.40,65.02
21,Conv,24798,99192,0.10,2.43,146313216,146.31,1475.05,50.84
22,Conv,2262,9048,0.01,0.22,16257024,16.26,1796.75,61.93
23,Conv,24838,99352,0.10,2.44,146313216,146.31,1472.68,50.76
24,Remap,1014,4056,0.00,0.10,0,0,0,0
25,Remap,622,2488,0.00,0.06,0,0,0,0
26,Conv,12526,50104,0.05,1.23,97542144,97.54,1946.79,67.10
27,Conv,37104,148416,0.15,3.64,292626432,292.63,1971.66,67.96
28,Conv,4309,17236,0.02,0.42,32514048,32.51,1886.40,65.02
29,Conv,24797,99188,0.10,2.43,146313216,146.31,1475.11,50.84
30,Conv,2263,9052,0.01,0.22,16257024,16.26,1795.96,61.90
31,Conv,24796,99184,0.10,2.43,146313216,146.31,1475.17,50.84
32,Remap,1014,4056,0.00,0.10,0,0,0,0
33,Remap,1014,4056,0.00,0.10,0,0,0,0
34,Remap,622,2488,0.00,0.06,0,0,0,0
35,Conv,27607,110428,0.11,2.71,260112384,260.11,2355.49,81.19
36,Conv,40873,163492,0.16,4.01,308883456,308.88,1889.29,65.12
37,Conv,4991,19964,0.02,0.49,36227072,36.23,1814.62,62.54
38,Conv,25939,103756,0.10,2.54,163021824,163.02,1571.20,54.15
39,Conv,2586,10344,0.01,0.25,18113536,18.11,1751.12,60.36
40,Conv,25952,103808,0.10,2.54,163021824,163.02,1570.42,54.13
41,Remap,294,1176,0.00,0.03,0,0,0,0
42,Remap,294,1176,0.00,0.03,0,0,0,0
43,Conv,13141,52564,0.05,1.29,108681216,108.68,2067.60,71.26
44,Conv,43103,172412,0.17,4.23,326043648,326.04,1891.07,65.18
45,Conv,5003,20012,0.02,0.49,36227072,36.23,1810.27,62.39
46,Conv,25946,103784,0.10,2.54,163021824,163.02,1570.78,54.14
47,Conv,2590,10360,0.01,0.25,18113536,18.11,1748.41,60.26
48,Conv,25945,103780,0.10,2.54,163021824,163.02,1570.84,54.14
49,Remap,554,2216,0.00,0.05,0,0,0,0
50,Remap,554,2216,0.00,0.05,0,0,0,0
51,Remap,294,1176,0.00,0.03,0,0,0,0
52,Conv,30727,122908,0.12,3.01,228802560,228.80,1861.58,64.16
53,Conv,66182,264728,0.26,6.49,406425600,406.43,1535.26,52.92
54,Conv,140958,563832,0.56,13.82,867041280,867.04,1537.77,53.00
55,Conv,130374,521496,0.52,12.78,377487360,377.49,723.85,24.95
56,Conv,21074,84296,0.08,2.07,41943040,41.94,497.57,17.15
57,AveragePool,8364,33456,0.03,0.82,0,0,0,0
58,Fc,16831,67324,0.07,1.65,2048000,2.05,30.42,95.06
