round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,183034,31973,3410260,67620,78430,3771317
2,61406,30659,3435413,21567,52294,3601339
3,64563,30590,3406944,9784,50851,3562732
4,76349,79983,3403262,9666,53096,3622356
5,104847,36854,3412180,5438,15459,3574778
6,48778,106042,3407623,9607,57758,3629808
7,99716,30452,3406607,9792,49264,3595831
8,117262,87056,3435988,62891,76616,3779813
9,64448,120823,3411691,43427,16466,3656855
10,68760,30522,3377927,4893,12285,3494387
11,63483,30537,3377953,6331,10362,3488666
12,46106,45904,3531739,5198,9898,3638845
13,45277,30497,3408138,6130,68775,3558817
14,81291,73552,3385102,5015,15633,3560593
15,51797,30469,3377240,4843,8860,3473209
16,46028,30411,3378228,4769,9482,3468918
17,76688,60627,3408169,5378,15978,3566840
18,79974,60431,3407207,5548,81779,3634939
19,91348,68720,3540785,10336,77071,3788260
20,118553,30854,3515663,5418,50080,3720568
21,76579,31053,3513803,5183,13902,3640520
22,120775,30877,3410154,5375,14055,3581236
23,79379,30752,3411940,10274,55040,3587385
24,80678,31156,3464828,5398,14292,3596352
25,82884,30810,3382822,6563,11240,3514319
26,85453,70800,3378475,5449,10590,3550767
27,45870,30691,3414267,12562,49032,3552422
28,75958,32222,3443405,67238,78004,3696827
29,54924,60803,3488274,66677,75986,3746664
30,81899,68474,3517078,69899,79597,3816947
31,50115,31688,3409644,70881,78834,3641162
32,58341,67308,3457699,65398,91360,3740106
33,88107,61732,3437346,67704,79499,3734388
34,52805,65655,3541426,67445,75405,3802736
35,48964,30792,3509097,63294,77679,3729826
36,47372,74126,3422604,58145,17795,3620042
37,82769,63571,3518349,65751,76876,3807316
38,89280,65195,3414696,9398,73110,3651679
39,62822,31660,3377961,5888,10536,3488867
40,48938,31508,3408531,40985,81892,3611854
41,52392,65552,3444645,70587,87413,3720589
42,89647,32735,3446742,80878,94514,3744516
43,126569,64552,3480536,78659,54627,3804943
44,54745,33130,3424221,79671,94208,3685975
45,57965,70866,3414936,81751,75550,3701068
46,104895,37647,3458379,70864,93195,3764980
47,104968,90394,3480048,70742,101834,3847986
48,68064,36928,3430768,20323,131622,3687705
49,111343,106272,3466645,92394,120848,3897502
50,119987,43476,3433633,92324,98355,3787775
