ins_idx,latency(cycles),latency(ns)
1,12865,51460
2,10576,42304
3,3441,13764
4,20910,83640
5,3440,13760
6,20950,83800
7,1600,6400
8,1600,6400
9,7130,28520
10,20942,83768
11,3512,14048
12,20957,83828
13,3442,13768
14,20909,83636
15,1600,6400
16,1600,6400
17,1600,6400
18,9143,36572
19,21431,85724
20,3257,13028
21,13845,55380
22,2065,8260
23,13845,55380
24,1208,4832
25,816,3264
26,9325,37300
27,27531,110124
28,3257,13028
29,13911,55644
30,2065,8260
31,13878,55512
32,1208,4832
33,1208,4832
34,816,3264
35,18370,73480
36,32541,130164
37,4030,16120
38,22994,91976
39,2123,8492
40,22950,91800
41,344,1376
42,344,1376
43,11639,46556
44,34312,137248
45,4021,16084
46,22943,91772
47,2119,8476
48,22959,91836
49,552,2208
50,552,2208
51,344,1376
52,20439,81756
53,70624,282496
54,140993,563972
55,65343,261372
56,21057,84228
57,8358,33432
58,16822,67288
