round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,91903,31100,7949217,74253,72624,8219097
2,202254,80191,8062927,69148,71904,8486424
3,129505,89448,7965155,76215,41925,8302248
4,89241,61937,8053359,66114,86364,8357015
5,117192,90257,7977280,67728,86842,8339299
6,88074,63118,8055482,68504,76155,8351333
7,119691,91206,7950428,6180,18228,8185733
8,54159,31102,7913359,5756,12517,8016893
9,59870,30741,7963878,75882,81861,8212232
10,99904,61964,7970666,65940,79175,8277649
11,89351,63196,7981112,28384,14847,8176890
12,52781,31509,8024999,8149,24704,8142142
13,133262,65848,7950183,7747,23372,8180412
14,81679,87412,8014558,51695,66166,8301510
15,142861,61381,7975270,79139,78338,8336989
16,114317,106579,8002687,97158,120545,8441286
17,120880,115041,8005999,99342,134760,8476022
18,149518,136013,8017368,119745,142842,8565486
19,101971,44455,8005094,96471,127841,8375832
20,185439,122089,8022113,73233,142790,8545664
21,153362,81993,8010138,109640,57135,8412268
22,150468,144104,8010755,93104,142967,8541398
23,213056,132272,8012751,103609,134843,8596531
24,186274,117407,8013731,95919,135442,8548773
25,203903,137558,8014487,104279,141460,8601687
26,158403,119240,8011838,114929,154674,8559084
27,195350,133795,8006543,103560,137390,8576638
28,189530,85315,8015130,25763,50611,8366349
29,105873,133451,8010600,25554,97258,8372736
30,207194,123357,8029184,114522,148442,8622699
31,150721,89263,8010747,109055,73374,8433160
32,184904,127986,8026808,115341,138173,8593212
33,152133,85954,7972533,25634,68295,8304549
34,188181,59009,8030474,116008,152158,8545830
35,151951,84277,8026188,110777,73664,8446857
36,141439,47408,8025410,122194,56791,8393242
37,112047,88253,7954562,7316,52075,8214253
38,83251,34295,7980347,64195,77267,8239355
39,112953,63679,7977363,63459,76130,8293584
40,91688,71440,8045254,65665,80377,8354424
41,81071,66994,7975720,62467,76885,8263137
42,89164,81251,8027541,75106,74736,8347798
43,132271,64210,8037061,74706,90732,8398980
44,136669,95947,8006769,73386,84144,8396915
45,98810,75374,7974702,80659,102458,8332003
46,140418,124543,8045803,59881,74461,8445106
47,80871,70162,7979316,67207,79719,8277275
48,135914,31719,7945711,6193,13369,8132906
49,50062,31504,7973069,9612,27012,8091259
50,58589,33626,8047273,5856,50803,8196147
