ins_idx,latency(cycles),latency(ns)
1,10227,40908
2,10264,41056
3,2479,9916
4,20309,81236
5,1824,7296
6,20363,81452
7,818,3272
8,818,3272
9,6915,27660
10,20309,81236
11,2479,9916
12,20310,81240
13,1824,7296
14,20311,81244
15,1602,6408
16,818,3272
17,818,3272
18,18078,72312
19,22074,88296
20,2644,10576
21,11161,44644
22,1440,5760
23,11214,44856
24,426,1704
25,426,1704
26,7491,29964
27,22148,88592
28,2719,10876
29,11128,44512
30,1440,5760
31,11140,44560
32,818,3272
33,426,1704
34,426,1704
35,9662,38648
36,22073,88292
37,2641,10564
38,11163,44652
39,1440,5760
40,11164,44656
41,818,3272
42,818,3272
43,426,1704
44,24498,97992
45,40832,163328
46,4703,18812
47,24596,98384
48,2462,9848
49,24593,98372
50,502,2008
51,294,1176
52,12463,49852
53,40833,163332
54,4740,18960
55,24609,98436
56,2462,9848
57,24603,98412
58,502,2008
59,294,1176
60,294,1176
61,18281,73124
62,40865,163460
63,4768,19072
64,24601,98404
65,2495,9980
66,24595,98380
67,502,2008
68,294,1176
69,294,1176
70,18271,73084
71,40843,163372
72,4751,19004
73,24596,98384
74,2471,9884
75,24598,98392
76,502,2008
77,502,2008
78,294,1176
79,25496,101984
80,31980,127920
81,111695,446780
82,104352,417408
83,14722,58888
84,10412,41648
85,21038,84152
