Index,Name,Type
1,/features/init_block/conv/Conv_quant,Conv
2,/features/stage1/unit1/branch1/conv/Conv_quant,Conv
3,/features/stage1/unit1/branch2/conv1/conv/Conv_quant,Conv
4,/features/stage1/unit1/branch2/conv2/conv/Conv_quant,Conv
5,/features/stage1/unit1/branch3/conv1/conv/Conv_quant,Conv
6,/features/stage1/unit1/branch3/conv2/conv/Conv_quant,Conv
7,/features/stage1/unit1/Concat_quant/1,Remap
8,/features/stage1/unit1/Concat_quant/2,Remap
9,/features/stage1/unit1/last_conv/conv/Conv_quant,Conv
10,/features/stage1/unit2/branch1/conv/Conv_quant,Conv
11,/features/stage1/unit2/branch2/conv1/conv/Conv_quant,Conv
12,/features/stage1/unit2/branch2/conv2/conv/Conv_quant,Conv
13,/features/stage1/unit2/branch3/conv1/conv/Conv_quant,Conv
14,/features/stage1/unit2/branch3/conv2/conv/Conv_quant,Conv
15,/features/stage1/unit2/Concat_quant/1,Remap
16,/features/stage1/unit2/Concat_quant/2,Remap
17,/features/stage1/unit2/Concat_quant/3,Remap
18,/features/stage1/unit2/last_conv/conv/Conv_quant,Conv
19,/features/stage2/unit1/branch1/conv/Conv_quant,Conv
20,/features/stage2/unit1/branch2/conv1/conv/Conv_quant,Conv
21,/features/stage2/unit1/branch2/conv2/conv/Conv_quant,Conv
22,/features/stage2/unit1/branch3/conv1/conv/Conv_quant,Conv
23,/features/stage2/unit1/branch3/conv2/conv/Conv_quant,Conv
24,/features/stage2/unit1/Concat_quant/1,Remap
25,/features/stage2/unit1/Concat_quant/2,Remap
26,/features/stage2/unit1/last_conv/conv/Conv_quant,Conv
27,/features/stage2/unit2/branch1/conv/Conv_quant,Conv
28,/features/stage2/unit2/branch2/conv1/conv/Conv_quant,Conv
29,/features/stage2/unit2/branch2/conv2/conv/Conv_quant,Conv
30,/features/stage2/unit2/branch3/conv1/conv/Conv_quant,Conv
31,/features/stage2/unit2/branch3/conv2/conv/Conv_quant,Conv
32,/features/stage2/unit2/Concat_quant/0,Remap
33,/features/stage2/unit2/Concat_quant/2,Remap
34,/features/stage2/unit2/Concat_quant/3,Remap
35,/features/stage2/unit2/last_conv/conv/Conv_quant,Conv
36,/features/stage2/unit3/branch1/conv/Conv_quant,Conv
37,/features/stage2/unit3/branch2/conv1/conv/Conv_quant,Conv
38,/features/stage2/unit3/branch2/conv2/conv/Conv_quant,Conv
39,/features/stage2/unit3/branch3/conv1/conv/Conv_quant,Conv
40,/features/stage2/unit3/branch3/conv2/conv/Conv_quant,Conv
41,/features/stage2/unit3/Concat_quant/0,Remap
42,/features/stage2/unit3/Concat_quant/1,Remap
43,/features/stage2/unit3/Concat_quant/2,Remap
44,/features/stage2/unit3/last_conv/conv/Conv_quant,Conv
45,/features/stage3/unit1/branch1/conv/Conv_quant,Conv
46,/features/stage3/unit1/branch2/conv1/conv/Conv_quant,Conv
47,/features/stage3/unit1/branch2/conv2/conv/Conv_quant,Conv
48,/features/stage3/unit1/branch3/conv1/conv/Conv_quant,Conv
49,/features/stage3/unit1/branch3/conv2/conv/Conv_quant,Conv
50,/features/stage3/unit1/Concat_quant/0,Remap
51,/features/stage3/unit1/Concat_quant/1,Remap
52,/features/stage3/unit1/last_conv/conv/Conv_quant,Conv
53,/features/stage3/unit2/branch1/conv/Conv_quant,Conv
54,/features/stage3/unit2/branch2/conv1/conv/Conv_quant,Conv
55,/features/stage3/unit2/branch2/conv2/conv/Conv_quant,Conv
56,/features/stage3/unit2/branch3/conv1/conv/Conv_quant,Conv
57,/features/stage3/unit2/branch3/conv2/conv/Conv_quant,Conv
58,/features/stage3/unit2/Concat_quant/0,Remap
59,/features/stage3/unit2/Concat_quant/2,Remap
60,/features/stage3/unit2/Concat_quant/3,Remap
61,/features/stage3/unit2/last_conv/conv/Conv_quant,Conv
62,/features/stage3/unit3/branch1/conv/Conv_quant,Conv
63,/features/stage3/unit3/branch2/conv1/conv/Conv_quant,Conv
64,/features/stage3/unit3/branch2/conv2/conv/Conv_quant,Conv
65,/features/stage3/unit3/branch3/conv1/conv/Conv_quant,Conv
66,/features/stage3/unit3/branch3/conv2/conv/Conv_quant,Conv
67,/features/stage3/unit3/Concat_quant/0,Remap
68,/features/stage3/unit3/Concat_quant/2,Remap
69,/features/stage3/unit3/Concat_quant/3,Remap
70,/features/stage3/unit3/last_conv/conv/Conv_quant,Conv
71,/features/stage3/unit4/branch1/conv/Conv_quant,Conv
72,/features/stage3/unit4/branch2/conv1/conv/Conv_quant,Conv
73,/features/stage3/unit4/branch2/conv2/conv/Conv_quant,Conv
74,/features/stage3/unit4/branch3/conv1/conv/Conv_quant,Conv
75,/features/stage3/unit4/branch3/conv2/conv/Conv_quant,Conv
76,/features/stage3/unit4/Concat_quant/0,Remap
77,/features/stage3/unit4/Concat_quant/1,Remap
78,/features/stage3/unit4/Concat_quant/2,Remap
79,/features/stage3/unit4/last_conv/conv/Conv_quant,Conv
80,/features/stage4/unit1/conv/Conv_quant,Conv
81,/features/stage4/unit2/conv/Conv_quant,Conv
82,/features/stage5/unit1/conv/Conv_quant,Conv
83,/features/stage5/unit2/conv/Conv_quant,Conv
84,/features/final_pool/AveragePool_quant,AveragePool
85,/output/Gemm_quant,Fc
86,End,End
