ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,7102,28408,0.03,0.78,21676032,21.68,763.03,17.53
2,Conv,7039,28156,0.03,0.77,115605504,115.61,4105.89,94.34
3,Conv,1939,7756,0.01,0.21,25690112,25.69,3312.29,76.11
4,Conv,13882,55528,0.06,1.52,115605504,115.61,2081.93,47.84
5,Conv,1883,7532,0.01,0.21,12845056,12.85,1705.40,39.19
6,Conv,13835,55340,0.06,1.52,115605504,115.61,2089.00,48.00
7,Remap,816,3264,0.00,0.09,0,0,0,0
8,Remap,816,3264,0.00,0.09,0,0,0,0
9,Conv,5101,20404,0.02,0.56,77070336,77.07,3777.22,86.79
10,Conv,13833,55332,0.06,1.52,231211008,231.21,4178.61,96.02
11,Conv,1939,7756,0.01,0.21,25690112,25.69,3312.29,76.11
12,Conv,13832,55328,0.06,1.52,115605504,115.61,2089.46,48.01
13,Conv,1884,7536,0.01,0.21,12845056,12.85,1704.49,39.17
14,Conv,13909,55636,0.06,1.53,115605504,115.61,2077.89,47.75
15,Remap,1600,6400,0.01,0.18,0,0,0,0
16,Remap,816,3264,0.00,0.09,0,0,0,0
17,Remap,816,3264,0.00,0.09,0,0,0,0
18,Conv,12356,49424,0.05,1.36,205520896,205.52,4158.32,95.55
19,Conv,15596,62384,0.06,1.71,231211008,231.21,3706.25,85.16
20,Conv,2035,8140,0.01,0.22,25690112,25.69,3156.03,72.52
21,Conv,7942,31768,0.03,0.87,115605504,115.61,3639.06,83.62
22,Conv,1186,4744,0.00,0.13,12845056,12.85,2707.64,62.22
23,Conv,7935,31740,0.03,0.87,115605504,115.61,3642.27,83.69
24,Remap,424,1696,0.00,0.05,0,0,0,0
25,Remap,424,1696,0.00,0.05,0,0,0,0
26,Conv,5350,21400,0.02,0.59,77070336,77.07,3601.42,82.75
27,Conv,15594,62376,0.06,1.71,231211008,231.21,3706.73,85.17
28,Conv,1951,7804,0.01,0.21,25690112,25.69,3291.92,75.64
29,Conv,7903,31612,0.03,0.87,115605504,115.61,3657.01,84.03
30,Conv,1186,4744,0.00,0.13,12845056,12.85,2707.64,62.22
31,Conv,7903,31612,0.03,0.87,115605504,115.61,3657.01,84.03
32,Remap,816,3264,0.00,0.09,0,0,0,0
33,Remap,424,1696,0.00,0.05,0,0,0,0
34,Remap,424,1696,0.00,0.05,0,0,0,0
35,Conv,6846,27384,0.03,0.75,102760448,102.76,3752.57,86.23
36,Conv,15592,62368,0.06,1.71,231211008,231.21,3707.21,85.18
37,Conv,1951,7804,0.01,0.21,25690112,25.69,3291.92,75.64
38,Conv,7903,31612,0.03,0.87,115605504,115.61,3657.01,84.03
39,Conv,1186,4744,0.00,0.13,12845056,12.85,2707.64,62.22
40,Conv,7902,31608,0.03,0.87,115605504,115.61,3657.48,84.04
41,Remap,816,3264,0.00,0.09,0,0,0,0
42,Remap,816,3264,0.00,0.09,0,0,0,0
43,Remap,424,1696,0.00,0.05,0,0,0,0
