Index,Name,Type
1,/features/init_block/conv/Conv_quant,Conv
2,/features/stage1/pool1/MaxPool,MaxPool
3,/features/stage1/unit1/squeeze/conv/Conv_quant,Conv
4,/features/stage1/unit1/expand1x1/conv/Conv_quant,Conv
5,/features/stage1/unit1/expand3x3/conv/Conv_quant,Conv
6,/features/stage1/unit1/Concat_quant/0,Remap
7,/features/stage1/unit2/squeeze/conv/Conv_quant,Conv
8,/features/stage1/unit2/expand1x1/conv/Conv_quant,Conv
9,/features/stage1/unit2/expand3x3/conv/Conv_quant,Conv
10,/features/stage1/unit2/Concat_quant/1,Remap
11,/features/stage1/unit3/squeeze/conv/Conv_quant,Conv
12,/features/stage1/unit3/expand1x1/conv/Conv_quant,Conv
13,/features/stage1/unit3/expand3x3/conv/Conv_quant,Conv
14,/features/stage1/unit3/Concat_quant/0,Remap
15,/features/stage2/pool2/MaxPool,MaxPool
16,/features/stage2/unit1/squeeze/conv/Conv_quant,Conv
17,/features/stage2/unit1/expand1x1/conv/Conv_quant,Conv
18,/features/stage2/unit1/expand3x3/conv/Conv_quant,Conv
19,/features/stage2/unit1/Concat_quant/0,Remap
20,/features/stage2/unit2/squeeze/conv/Conv_quant,Conv
21,/features/stage2/unit2/expand1x1/conv/Conv_quant,Conv
22,/features/stage2/unit2/expand3x3/conv/Conv_quant,Conv
23,/features/stage2/unit2/Concat_quant/0,Remap
24,/features/stage2/unit3/squeeze/conv/Conv_quant,Conv
25,/features/stage2/unit3/expand1x1/conv/Conv_quant,Conv
26,/features/stage2/unit3/expand3x3/conv/Conv_quant,Conv
27,/features/stage2/unit3/Concat_quant/0,Remap
28,/features/stage2/unit4/squeeze/conv/Conv_quant,Conv
29,/features/stage2/unit4/expand1x1/conv/Conv_quant,Conv
30,/features/stage2/unit4/expand3x3/conv/Conv_quant,Conv
31,/features/stage2/unit4/Concat_quant/0,Remap
32,/features/stage3/pool3/MaxPool,MaxPool
33,/features/stage3/unit1/squeeze/conv/Conv_quant,Conv
34,/features/stage3/unit1/expand1x1/conv/Conv_quant,Conv
35,/features/stage3/unit1/expand3x3/conv/Conv_quant,Conv
36,/features/stage3/unit1/Concat_quant/0,Remap
37,/output/final_conv/Conv_quant,Conv
38,/output/final_pool/AveragePool_quant,AveragePool
39,End,End
