round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,95942,31999,1441532,6013,17367,1592853
2,50281,30451,1439832,5891,13627,1540082
3,74325,30635,1439915,5821,11692,1562388
4,49419,30405,1439523,5836,11632,1536815
5,47841,30621,1439668,5867,11818,1535815
6,50444,30582,1440839,6249,11919,1540033
7,49147,31392,1442155,4907,12562,1540163
8,50076,31497,1440161,5718,14086,1541538
9,57729,30017,1439524,5233,9941,1542444
10,57714,29531,1438480,6475,10553,1542753
11,50166,29654,1437764,5485,8855,1531924
12,44154,29884,1437188,4868,9389,1525483
13,43932,29462,1437480,5214,8875,1524963
14,44329,29451,1437157,5173,8768,1524878
15,43766,29697,1438510,5794,10051,1527818
16,44801,39090,1437765,4864,10020,1536540
17,48444,29441,1439853,5141,9940,1532819
18,47139,30750,1441712,6945,13493,1540039
19,48655,29647,1439376,5073,10007,1532758
20,48167,29607,1439053,4851,11779,1533457
21,57191,29560,1439830,7136,12113,1545830
22,53153,29558,1437767,4913,8621,1534012
23,44210,29529,1437598,5731,9045,1526113
24,44541,29464,1437160,4835,8372,1524372
25,44043,29492,1437189,4864,8353,1523941
26,44010,29456,1437694,5917,9782,1526859
27,45374,29749,1437865,5278,9987,1528253
28,46761,29539,1438598,6041,26559,1547498
29,55797,29604,1441518,5565,13623,1546107
30,51333,50743,1438910,5144,10125,1556255
31,51617,29739,1439205,6860,11812,1539233
32,73541,30066,1437555,4883,10427,1556472
33,63307,29811,1437243,5146,8460,1543967
34,44404,29641,1437327,4865,8532,1524769
35,59397,29494,1437261,4833,8439,1539424
36,58577,30203,1437759,5761,9502,1541802
37,44653,29466,1437468,5719,10052,1527358
38,44430,29501,1438251,5000,9732,1526914
39,45913,29496,1444006,5803,17185,1542403
40,51367,29855,1439685,6717,11415,1539039
41,49726,29765,1438819,6190,12834,1537334
42,53552,29834,1437916,5441,9734,1536477
43,50892,29434,1437454,4884,8658,1531322
44,45264,29423,1437538,6048,9056,1527329
45,43792,29421,1437246,4878,8481,1523818
46,44012,29437,1437271,4839,8416,1523975
47,55792,29471,1438017,5746,9368,1538394
48,56708,45536,1437957,4865,15600,1560666
49,59095,29670,1442559,5329,34756,1571409
50,95806,32290,1441825,5850,13907,1589678
