ins_idx,latency(cycles),latency(ns)
1,10075,40300
2,13998,55992
3,2434,9736
4,1792,7168
5,5145,20580
6,1554,6216
7,6771,27084
8,1792,7168
9,5145,20580
10,1554,6216
11,10542,42168
12,1892,7568
13,1024,4096
14,5144,20576
15,770,3080
16,3518,14072
17,1025,4100
18,5145,20580
19,770,3080
20,5358,21432
21,1079,4316
22,570,2280
23,3010,12040
24,298,1192
25,1486,5944
26,571,2284
27,3010,12040
28,298,1192
29,1486,5944
30,808,3232
31,5145,20580
32,386,1544
33,1892,7568
34,808,3232
35,5145,20580
36,386,1544
37,26287,105148
38,84672,338688
