ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,12628,50512,0.05,6.16,42581376,42.58,843.00,14.53
2,MaxPool,13992,55968,0.06,6.83,0,0,0,0
3,Conv,3342,13368,0.01,1.63,6195200,6.20,463.44,7.99
4,Conv,3342,13368,0.01,1.63,6195200,6.20,463.44,7.99
5,Conv,5168,20672,0.02,2.52,55756800,55.76,2697.21,46.48
6,Remap,1552,6208,0.01,0.76,0,0,0,0
7,Conv,6794,27176,0.03,3.31,18585600,18.59,683.90,11.79
8,Conv,3342,13368,0.01,1.63,6195200,6.20,463.44,7.99
9,Conv,5167,20668,0.02,2.52,55756800,55.76,2697.74,46.49
10,Remap,1552,6208,0.01,0.76,0,0,0,0
11,MaxPool,10536,42144,0.04,5.14,0,0,0,0
12,Conv,1915,7660,0.01,0.93,8957952,8.96,1169.45,20.15
13,Conv,1038,4152,0.00,0.51,5971968,5.97,1438.34,24.79
14,Conv,2728,10912,0.01,1.33,53747712,53.75,4925.56,84.88
15,Remap,768,3072,0.00,0.37,0,0,0,0
16,Conv,3542,14168,0.01,1.73,17915904,17.92,1264.53,21.79
17,Conv,1038,4152,0.00,0.51,5971968,5.97,1438.34,24.79
18,Conv,2728,10912,0.01,1.33,53747712,53.75,4925.56,84.88
19,Remap,768,3072,0.00,0.37,0,0,0,0
20,MaxPool,5352,21408,0.02,2.61,0,0,0,0
21,Conv,1102,4408,0.00,0.54,6230016,6.23,1413.34,24.36
22,Conv,654,2616,0.00,0.32,3115008,3.12,1190.75,20.52
23,Conv,2118,8472,0.01,1.03,28035072,28.04,3309.14,57.03
24,Remap,296,1184,0.00,0.14,0,0,0,0
25,Conv,1509,6036,0.01,0.74,9345024,9.35,1548.21,26.68
26,Conv,654,2616,0.00,0.32,3115008,3.12,1190.75,20.52
27,Conv,2118,8472,0.01,1.03,28035072,28.04,3309.14,57.03
28,Remap,296,1184,0.00,0.14,0,0,0,0
29,Conv,1509,6036,0.01,0.74,12460032,12.46,2064.29,35.57
30,Conv,654,2616,0.00,0.32,5537792,5.54,2116.89,36.48
31,Conv,2728,10912,0.01,1.33,49840128,49.84,4567.46,78.71
32,Remap,384,1536,0.00,0.19,0,0,0,0
33,Conv,1915,7660,0.01,0.93,16613376,16.61,2168.85,37.38
34,Conv,654,2616,0.00,0.32,5537792,5.54,2116.89,36.48
35,Conv,2728,10912,0.01,1.33,49840128,49.84,4567.46,78.71
36,Remap,384,1536,0.00,0.19,0,0,0,0
37,Conv,13299,53196,0.05,6.49,259584000,259.58,4879.77,84.10
38,AveragePool,84666,338664,0.34,41.31,0,0,0,0
