Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/stage1/unit1/conv/Conv_quant,Conv,64,3,224,224,3,3,1,1,1,1,1,1
/features/stage1/pool1/MaxPool,MaxPool,64,64,224,224,2,2,2,2,0,0,0,0
/features/stage2/unit1/conv/Conv_quant,Conv,128,64,112,112,3,3,1,1,1,1,1,1
/features/stage2/pool2/MaxPool,MaxPool,128,128,112,112,2,2,2,2,0,0,0,0
/features/stage3/unit1/conv/Conv_quant,Conv,256,128,56,56,3,3,1,1,1,1,1,1
/features/stage3/unit2/conv/Conv_quant,Conv,256,256,56,56,3,3,1,1,1,1,1,1
/features/stage3/pool3/MaxPool,MaxPool,256,256,56,56,2,2,2,2,0,0,0,0
/features/stage4/unit1/conv/Conv_quant,Conv,512,256,28,28,3,3,1,1,1,1,1,1
/features/stage4/unit2/conv/Conv_quant,Conv,512,512,28,28,3,3,1,1,1,1,1,1
/features/stage4/pool4/MaxPool,MaxPool,512,512,28,28,2,2,2,2,0,0,0,0
/features/stage5/unit1/conv/Conv_quant,Conv,512,512,14,14,3,3,1,1,1,1,1,1
/features/stage5/unit2/conv/Conv_quant,Conv,512,512,14,14,3,3,1,1,1,1,1,1
/features/stage5/pool5/MaxPool,MaxPool,512,512,14,14,2,2,2,2,0,0,0,0
/output/fc1/fc/Gemm_quant,Fc,4096,25088,0,0,0,0,0,0,0,0,0,0
/output/fc2/fc/Gemm_quant,Fc,4096,4096,0,0,0,0,0,0,0,0,0,0
/output/fc3/Gemm_quant,Fc,1000,4096,0,0,0,0,0,0,0,0,0,0
