ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,86765,347060,0.35,1.73,173408256,173.41,499.65,34.44
2,MaxPool,63238,252952,0.25,1.26,0,0,0,0
3,Conv,346464,1385856,1.39,6.92,1849688064,1849.69,1334.69,92.01
4,MaxPool,25220,100880,0.10,0.50,0,0,0,0
5,Conv,346465,1385860,1.39,6.92,1849688064,1849.69,1334.69,92.01
6,Conv,692721,2770884,2.77,13.83,3699376128,3699.38,1335.09,92.03
7,MaxPool,12932,51728,0.05,0.26,0,0,0,0
8,Conv,353528,1414112,1.41,7.06,1849688064,1849.69,1308.02,90.17
9,Conv,706859,2827436,2.83,14.11,3699376128,3699.38,1308.39,90.19
10,MaxPool,7300,29200,0.03,0.15,0,0,0,0
11,Conv,198067,792268,0.79,3.95,924844032,924.84,1167.34,80.47
12,Conv,198069,792276,0.79,3.95,924844032,924.84,1167.33,80.47
13,MaxPool,2180,8720,0.01,0.04,0,0,0,0
14,Fc,1634948,6539792,6.54,32.64,205520896,205.52,31.43,98.21
15,Fc,267085,1068340,1.07,5.33,33554432,33.55,31.41,98.15
16,Fc,66877,267508,0.27,1.34,8192000,8.19,30.62,95.70
