round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,122698,31257,32108493,69244,83956,32415648
2,132511,93844,32072322,63884,88968,32451529
3,162317,111041,32043723,25902,120202,32463185
4,257098,132925,32087744,121396,155176,32754339
5,276677,137411,32089994,110554,152697,32767333
6,211717,62735,32111944,118196,155796,32660388
7,271708,136765,32072672,96154,133561,32710860
8,258227,89884,32007087,42808,52023,32450029
9,91388,69021,32046233,99117,77751,32383510
10,239299,119804,32082453,101598,134300,32677454
11,238138,129297,32047751,27390,73770,32516346
12,251514,125291,32047514,25486,73602,32523407
13,157567,153081,32067224,25543,73747,32477162
14,149814,59942,32088295,107947,145985,32551983
15,152768,45686,32077978,110276,140787,32527495
16,157255,113520,32046499,126927,152407,32596608
17,159933,68388,32071817,97531,128671,32526340
18,155922,68770,32080934,94242,136611,32536479
19,213428,45416,32085958,26680,79381,32450863
20,101362,46971,32120862,111700,114403,32495298
21,114051,93380,32074723,112435,151541,32546130
22,170485,78050,32039276,31599,145186,32464596
23,170986,101335,32081328,76718,61242,32491609
24,171080,60709,32041249,8849,54270,32336157
25,174357,61758,32041037,8310,52583,32338045
26,167550,64444,32042701,9190,54192,32338077
27,172337,60499,32044368,8276,50993,32336473
28,179268,44198,32008457,7067,18343,32257333
29,54669,31026,32014526,3682,19761,32123664
30,56787,31464,32001962,8901,62641,32161755
31,148318,45789,32042093,8605,51930,32296735
32,107434,54899,32062340,9456,54525,32288654
33,107162,60980,32095028,2979,16047,32282196
34,90937,64093,32073340,3182,19081,32250633
35,89886,70957,32044750,4564,27296,32237453
36,109042,60283,32041532,8584,52576,32272017
37,183039,59279,32043363,9327,54689,32349697
38,109333,61743,32041106,9450,57186,32278818
39,143689,108993,32038576,8306,53333,32352897
40,186466,56150,32079491,8730,53250,32384087
41,110751,68826,32017188,11934,63967,32272666
42,126361,53964,32006519,11038,61781,32259663
43,138995,47465,32046837,8726,54287,32296310
44,181255,63538,32045997,10524,62062,32363376
45,113519,56794,32016798,12452,54861,32254424
46,176387,51855,32042645,9721,55554,32336162
47,122425,58019,32053433,8807,57114,32299798
48,115006,59389,32043729,8969,55937,32283030
49,109374,62492,32047541,9101,55646,32284154
50,106908,63632,32042121,9110,55416,32277187
