Index,Name,Type
1,/features/stage1/unit1/conv/Conv_quant,Conv
2,/features/stage1/unit2/conv/Conv_quant,Conv
3,/features/stage1/pool1/MaxPool,MaxPool
4,/features/stage2/unit1/conv/Conv_quant,Conv
5,/features/stage2/unit2/conv/Conv_quant,Conv
6,/features/stage2/pool2/MaxPool,MaxPool
7,/features/stage3/unit1/conv/Conv_quant,Conv
8,/features/stage3/unit2/conv/Conv_quant,Conv
9,/features/stage3/unit3/conv/Conv_quant,Conv
10,/features/stage3/pool3/MaxPool,MaxPool
11,/features/stage4/unit1/conv/Conv_quant,Conv
12,/features/stage4/unit2/conv/Conv_quant,Conv
13,/features/stage4/unit3/conv/Conv_quant,Conv
14,/features/stage4/pool4/MaxPool,MaxPool
15,/features/stage5/unit1/conv/Conv_quant,Conv
16,/features/stage5/unit2/conv/Conv_quant,Conv
17,/features/stage5/unit3/conv/Conv_quant,Conv
18,/features/stage5/pool5/MaxPool,MaxPool
19,/output/fc1/fc/Gemm_quant,Fc
20,/output/fc2/fc/Gemm_quant,Fc
21,/output/fc3/Gemm_quant,Fc
22,End,End
