ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,10227,40908,0.04,2.00,43352064,43.35,1059.75,36.53
2,Conv,79957,319828,0.32,15.62,924844032,924.84,2891.69,99.67
3,Conv,40112,160448,0.16,7.84,462422016,462.42,2882.07,99.34
4,Conv,40112,160448,0.16,7.84,462422016,462.42,2882.07,99.34
5,Conv,20188,80752,0.08,3.94,231211008,231.21,2863.22,98.69
6,Conv,20189,80756,0.08,3.94,231211008,231.21,2863.08,98.68
7,Conv,20188,80752,0.08,3.94,231211008,231.21,2863.22,98.69
8,Conv,20188,80752,0.08,3.94,231211008,231.21,2863.22,98.69
9,Remap,3170,12680,0.01,0.62,0,0,0,0
10,Remap,1602,6408,0.01,0.31,0,0,0,0
11,Remap,1602,6408,0.01,0.31,0,0,0,0
12,Remap,1602,6408,0.01,0.31,0,0,0,0
13,Remap,1602,6408,0.01,0.31,0,0,0,0
14,Conv,40111,160444,0.16,7.84,462422016,462.42,2882.14,99.34
15,MaxPool,7662,30648,0.03,1.50,0,0,0,0
16,Conv,21409,85636,0.09,4.18,144506880,144.51,1687.45,58.16
17,Conv,13480,53920,0.05,2.63,90316800,90.32,1675.01,57.73
18,Conv,13480,53920,0.05,2.63,90316800,90.32,1675.01,57.73
19,Conv,13480,53920,0.05,2.63,90316800,90.32,1675.01,57.73
20,Conv,13480,53920,0.05,2.63,90316800,90.32,1675.01,57.73
21,Remap,818,3272,0.00,0.16,0,0,0,0
22,Remap,622,2488,0.00,0.12,0,0,0,0
23,Remap,622,2488,0.00,0.12,0,0,0,0
24,Remap,622,2488,0.00,0.12,0,0,0,0
25,Remap,622,2488,0.00,0.12,0,0,0,0
26,Conv,24345,97380,0.10,4.76,263323648,263.32,2704.08,93.20
27,MaxPool,4782,19128,0.02,0.93,0,0,0,0
28,Conv,13276,53104,0.05,2.59,86704128,86.70,1632.72,56.27
29,Conv,5145,20580,0.02,1.01,32514048,32.51,1579.89,54.45
30,Conv,5145,20580,0.02,1.01,32514048,32.51,1579.89,54.45
31,Conv,5144,20576,0.02,1.01,32514048,32.51,1580.19,54.46
32,Conv,5145,20580,0.02,1.01,32514048,32.51,1579.89,54.45
33,Remap,450,1800,0.00,0.09,0,0,0,0
34,Remap,190,760,0.00,0.04,0,0,0,0
35,Remap,190,760,0.00,0.04,0,0,0,0
36,Remap,190,760,0.00,0.04,0,0,0,0
37,Remap,190,760,0.00,0.04,0,0,0,0
38,Conv,17071,68284,0.07,3.34,149323776,149.32,2186.80,75.37
39,MaxPool,1900,7600,0.01,0.37,0,0,0,0
40,Conv,5145,20580,0.02,1.01,37933056,37.93,1843.20,63.53
41,Conv,1688,6752,0.01,0.33,11063808,11.06,1638.60,56.48
42,Conv,1689,6756,0.01,0.33,11063808,11.06,1637.63,56.44
43,Conv,1689,6756,0.01,0.33,11063808,11.06,1637.63,56.44
44,Conv,1689,6756,0.01,0.33,11063808,11.06,1637.63,56.44
45,Remap,226,904,0.00,0.04,0,0,0,0
46,Remap,98,392,0.00,0.02,0,0,0,0
47,Remap,98,392,0.00,0.02,0,0,0,0
48,Remap,98,392,0.00,0.02,0,0,0,0
49,Remap,98,392,0.00,0.02,0,0,0,0
50,Conv,7765,31060,0.03,1.52,66633728,66.63,2145.32,73.94
51,AveragePool,12716,50864,0.05,2.48,0,0,0,0
52,Fc,8511,34044,0.03,1.66,1024000,1.02,30.08,94.00
