round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,109152,30727,1581128,5384,11376,1737767
2,57410,30781,1581124,4898,11754,1685967
3,52605,30580,1579590,4826,8888,1676489
4,45577,30875,1580501,5040,9129,1671122
5,45097,30605,1579757,4960,9020,1669439
6,57517,30523,1579279,4860,7916,1680095
7,57024,30557,1582814,5023,10098,1685516
8,63888,30539,1582968,10586,10503,1698484
9,52523,31262,1582103,4909,11573,1682370
10,53099,31027,1579706,5134,8818,1677784
11,50386,30637,1579497,4850,9177,1674547
12,48734,30904,1579747,4810,8986,1673181
13,60873,30486,1579734,4937,8355,1684385
14,57290,30440,1579486,4972,8160,1680348
15,56321,30460,1594182,5041,8068,1694072
16,56677,30455,1579299,4825,7806,1679062
17,289250,33844,1579800,3770,11333,1917997
18,56232,30071,1585168,3255,14341,1689067
19,64297,29926,1593100,7047,34728,1729098
20,91691,29844,1578643,4510,7258,1711946
21,65267,29729,1591969,14081,34499,1735545
22,60806,29598,1583084,3811,9371,1686670
23,56479,30431,1579907,3674,7956,1678447
24,46820,29793,1578640,4518,6889,1666660
25,46759,29948,1579604,4840,7545,1668696
26,46113,29673,1578990,4524,6830,1666130
27,46723,35314,1610003,5239,81081,1778360
28,99329,60364,1617121,5075,52109,1833998
29,123804,31157,1582294,5964,10665,1753884
30,53801,30686,1610425,5680,13782,1714374
31,87446,66908,1580599,5603,10649,1751205
32,45533,33308,1608809,5212,9587,1702449
33,63067,30893,1580477,4892,9217,1688546
34,45863,31179,1580509,4920,9080,1671551
35,45495,30388,1581233,5136,9357,1671609
36,45127,30507,1580604,4875,9683,1670796
37,46344,30440,1584346,5391,13241,1679762
38,62631,37787,1581714,4892,10109,1697133
39,62025,40024,1580442,4883,9615,1696989
40,62127,32247,1580301,4893,9440,1689008
41,59730,32457,1580162,4960,9274,1686583
42,59214,33337,1608313,27162,9375,1737401
43,45348,30547,1581966,5526,10357,1673744
44,74823,31106,1581897,5000,10334,1703160
45,45070,30432,1581513,4980,9885,1671880
46,45329,30432,1581784,4970,10054,1672569
47,46824,30535,1582944,5288,11773,1677364
48,87840,35685,1583925,5133,13193,1725776
49,66799,30783,1582657,5295,11139,1696673
50,51888,30504,1581389,4895,9844,1678520
