Index,Name,Type
1,/features/init_block/conv1/conv/Conv_quant,Conv
2,/features/init_block/conv2/conv/Conv_quant,Conv
3,/features/init_block/conv3/conv/Conv_quant,Conv
4,/features/stage1/unit1/branches/branch1/conv/Conv_quant,Conv
5,/features/stage1/unit1/branches/branch2/conv/Conv_quant,Conv
6,/features/stage1/unit1/branches/branch3/conv/Conv_quant,Conv
7,/features/stage1/unit1/branches/branch4/conv/Conv_quant,Conv
8,/features/stage1/unit1/branches/branch5/conv/Conv_quant,Conv
9,/features/stage1/unit1/branches/Concat_quant/0,Remap
10,/features/stage1/unit1/branches/Concat_quant/1,Remap
11,/features/stage1/unit1/branches/Concat_quant/2,Remap
12,/features/stage1/unit1/branches/Concat_quant/4,Remap
13,/features/stage1/unit1/branches/Concat_quant/5,Remap
14,/features/stage1/unit1/concat_conv/conv/Conv_quant,Conv
15,/features/stage2/unit1/pool/MaxPool,MaxPool
16,/features/stage2/unit1/branches/branch1/conv/Conv_quant,Conv
17,/features/stage2/unit1/branches/branch2/conv/Conv_quant,Conv
18,/features/stage2/unit1/branches/branch3/conv/Conv_quant,Conv
19,/features/stage2/unit1/branches/branch4/conv/Conv_quant,Conv
20,/features/stage2/unit1/branches/branch5/conv/Conv_quant,Conv
21,/features/stage2/unit1/branches/Concat_quant/0,Remap
22,/features/stage2/unit1/branches/Concat_quant/1,Remap
23,/features/stage2/unit1/branches/Concat_quant/2,Remap
24,/features/stage2/unit1/branches/Concat_quant/3,Remap
25,/features/stage2/unit1/branches/Concat_quant/4,Remap
26,/features/stage2/unit1/concat_conv/conv/Conv_quant,Conv
27,/features/stage3/unit1/pool/MaxPool,MaxPool
28,/features/stage3/unit1/branches/branch1/conv/Conv_quant,Conv
29,/features/stage3/unit1/branches/branch2/conv/Conv_quant,Conv
30,/features/stage3/unit1/branches/branch3/conv/Conv_quant,Conv
31,/features/stage3/unit1/branches/branch4/conv/Conv_quant,Conv
32,/features/stage3/unit1/branches/branch5/conv/Conv_quant,Conv
33,/features/stage3/unit1/branches/Concat_quant/0,Remap
34,/features/stage3/unit1/branches/Concat_quant/1,Remap
35,/features/stage3/unit1/branches/Concat_quant/2,Remap
36,/features/stage3/unit1/branches/Concat_quant/3,Remap
37,/features/stage3/unit1/branches/Concat_quant/5,Remap
38,/features/stage3/unit1/concat_conv/conv/Conv_quant,Conv
39,/features/stage4/unit1/pool/MaxPool,MaxPool
40,/features/stage4/unit1/branches/branch1/conv/Conv_quant,Conv
41,/features/stage4/unit1/branches/branch2/conv/Conv_quant,Conv
42,/features/stage4/unit1/branches/branch3/conv/Conv_quant,Conv
43,/features/stage4/unit1/branches/branch4/conv/Conv_quant,Conv
44,/features/stage4/unit1/branches/branch5/conv/Conv_quant,Conv
45,/features/stage4/unit1/branches/Concat_quant/0,Remap
46,/features/stage4/unit1/branches/Concat_quant/2,Remap
47,/features/stage4/unit1/branches/Concat_quant/3,Remap
48,/features/stage4/unit1/branches/Concat_quant/4,Remap
49,/features/stage4/unit1/branches/Concat_quant/5,Remap
50,/features/stage4/unit1/concat_conv/conv/Conv_quant,Conv
51,/features/final_pool/AveragePool_quant,AveragePool
52,/output/Gemm_quant,Fc
53,End,End
