Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/init_block/conv1/conv/Conv_quant,Conv,64,3,224,224,3,3,2,2,1,1,1,1
/features/init_block/conv2/conv/Conv_quant,Conv,64,64,112,112,3,3,1,1,1,1,1,1
/features/init_block/conv3/conv/Conv_quant,Conv,128,64,112,112,3,3,2,2,1,1,1,1
/features/stage1/unit1/branches/branch1/conv/Conv_quant,Conv,64,128,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch2/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch3/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch4/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/branches/branch5/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/concat_conv/conv/Conv_quant,Conv,128,576,56,56,1,1,1,1,0,0,0,0
/features/stage2/unit1/pool/MaxPool,MaxPool,128,128,56,56,3,3,2,2,0,1,0,1
/features/stage2/unit1/branches/branch1/conv/Conv_quant,Conv,80,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch2/conv/Conv_quant,Conv,80,80,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch3/conv/Conv_quant,Conv,80,80,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch4/conv/Conv_quant,Conv,80,80,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/branches/branch5/conv/Conv_quant,Conv,80,80,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/concat_conv/conv/Conv_quant,Conv,256,656,28,28,1,1,1,1,0,0,0,0
/features/stage3/unit1/pool/MaxPool,MaxPool,256,256,28,28,3,3,2,2,0,1,0,1
/features/stage3/unit1/branches/branch1/conv/Conv_quant,Conv,96,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/branches/branch2/conv/Conv_quant,Conv,96,96,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/branches/branch3/conv/Conv_quant,Conv,96,96,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/branches/branch4/conv/Conv_quant,Conv,96,96,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/branches/branch5/conv/Conv_quant,Conv,96,96,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/concat_conv/conv/Conv_quant,Conv,384,992,14,14,1,1,1,1,0,0,0,0
/features/stage4/unit1/pool/MaxPool,MaxPool,384,384,14,14,3,3,2,2,0,1,0,1
/features/stage4/unit1/branches/branch1/conv/Conv_quant,Conv,112,384,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/branches/branch2/conv/Conv_quant,Conv,112,112,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/branches/branch3/conv/Conv_quant,Conv,112,112,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/branches/branch4/conv/Conv_quant,Conv,112,112,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/branches/branch5/conv/Conv_quant,Conv,112,112,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/concat_conv/conv/Conv_quant,Conv,512,1328,7,7,1,1,1,1,0,0,0,0
/features/final_pool/AveragePool_quant,AveragePool,512,512,7,7,7,7,1,1,0,0,0,0
/output/Gemm_quant,Fc,1000,512,0,0,0,0,0,0,0,0,0,0
